band,dyads,formed,prior_seats,prior_board,rate_per_1000
unreachable,210741,351,1.6383475450908935,2.3833378412363992,1.6655515538030095
3 (a board-mate sits on it),7555,102,4.290668431502317,3.7659827928524154,13.500992720052944
5 (two steps out),27004,87,3.3683898681676787,3.4117538142497406,3.2217449266775295
7 or more,79589,96,2.1586902712686427,2.6720652351455603,1.206196836246215
