brokerage,outcome,raw,within_cells,p_perm,null_lo,null_hi,cells,n
open_share,new_seats,0.5227176710066445,0.4888760872614355,0.0033333333333333335,-0.34481715182590733,0.339440506670308,12,263
effective_size,new_seats,0.2734290271132376,0.31814331311534166,0.067,-0.3553102995609291,0.3338050250380455,12,275
constraint,new_seats,0.24526568322188758,0.2923172041543688,0.103,-0.34992231696307113,0.3393103398458888,12,274
open_share,survives,0.03400289331848266,0.030075675934875132,0.531,-0.08789978242654128,0.08513088983686949,12,263
effective_size,survives,0.061244019138755934,0.058151395853282606,0.212,-0.09063486741240506,0.08164396373733858,12,275
constraint,survives,0.05063549589097033,0.0539046723900507,0.20566666666666666,-0.08707473468450933,0.08523342951773068,12,274
open_share,growth,-0.2964371215321784,-0.32589674318108297,0.21933333333333332,-0.5225225071167771,0.5156615264636876,12,263
effective_size,growth,-0.28191387559808634,-0.3279184529483302,0.21366666666666667,-0.5082239114584598,0.5099831349163321,12,275
constraint,growth,-0.36764330559950986,-0.3913128601715209,0.14433333333333334,-0.5244600779641609,0.5172210965311992,12,274
