model,brokerage,outcome,term,coef,lo,hi,p,n
seats only,open_share,new_seats,open_share,0.5664551172399431,-0.30991419073591964,1.442824425215806,0.20520763588817292,560
seats + contact volume,open_share,new_seats,mates,0.03480200928788833,0.017545042623308325,0.05205897595246834,7.729165556789526e-05,560
seats + contact volume,open_share,new_seats,open_share,0.2195040499503778,-0.6462287649704732,1.085236864871229,0.6192291088368131,560
seats only,effective_size,new_seats,effective_size,0.040677638213294495,0.024626256585894984,0.056729019840694006,6.800765253862179e-07,560
seats + contact volume,effective_size,new_seats,mates,-0.047386887213550485,-0.15585182195773573,0.06107804753063477,0.3918417079686526,560
seats + contact volume,effective_size,new_seats,effective_size,0.09076466235501182,-0.0268345510936088,0.20836387580363244,0.13034909626921967,560
seats only,constraint,new_seats,constraint,-0.7315375105852944,-1.8204576475947747,0.35738262642418595,0.18793734681314078,560
seats + contact volume,constraint,new_seats,mates,0.03730555286224348,0.019451497112236732,0.05515960861225022,4.216398537593574e-05,560
seats + contact volume,constraint,new_seats,constraint,0.07641883906277444,-0.8530188145980765,1.0058564927236253,0.871975858423788,560
