year,person_id,tier,source_page
1932,P00051,field_officer,531
1938,P00415,field_officer,276
1938,P00573,general_officer,294
1938,P00616,junior_officer,299
1942,P00874,field_officer,82
1942,P00967,general_officer,91
1942,P01079,junior_officer,103
1942,P01127,general_officer,108
1942,P01176,junior_officer,114
1947,P01079,junior_officer,108
1947,P01176,junior_officer,120
1950,P00447,field_officer,869
1950,P00653,field_officer,845
1950,P01079,junior_officer,901
1950,P01641,field_officer,841
1950,P01683,general_officer,846
1950,P01879,field_officer,868
1950,P01944,general_officer,874
1950,P01980,general_officer,878
1950,P02066,field_officer,886
1950,P02254,junior_officer,907
1950,P02280,general_officer,910
