year,group,coef,se,lo,hi,p,n
1932,european,0.6956612365666649,0.26786716627464835,0.1706512380275519,1.2206712351057778,0.00940314933739581,120
1932,local_minority,0.43437471119580906,0.25623487479377083,-0.06783641498311188,0.93658583737473,0.09003352643944838,120
1938,european,0.17612294175562712,0.10486686475146849,-0.029412336328884015,0.38165821984013826,0.09305641704022856,229
1938,local_minority,0.11992194784245966,0.08000554834390299,-0.03688604547496835,0.2767299411598877,0.13389428565057707,229
1942,european,-0.09196579107972973,0.04429200064500927,-0.17877651714717274,-0.005155065012286714,0.03786139269223495,425
1942,local_minority,-0.056321930652804164,0.05200730366508515,-0.158254372769409,0.045610511463800685,0.27882531532412735,425
1947,european,-0.009056100774137377,0.05135290413841169,-0.10970594338696218,0.09159374183868743,0.860018736436375,474
1947,local_minority,-0.050507024993296554,0.05174825561486548,-0.15193174226120554,0.05091769227461242,0.3290574975394046,474
1950,european,0.036095905779231365,0.04533645458283335,-0.05276191238985788,0.1249537239483206,0.42592835154436637,812
1950,local_minority,0.05651758686942218,0.03413825133857867,-0.010392156249368303,0.12342732998821267,0.09781295400225223,812
