process,term,estimate,boot_se,lo,hi,n_dyads,n_ties,n_boot
formation,edges,-6.995506153736007,0.08562532823813393,-7.16771247491049,-6.829137408426077,324889,636,100
formation,b1star2,0.1989081719958504,0.021044363479942593,0.17368741815554312,0.25189019218120995,324889,636,100
formation,b2star2,-0.006702658760754291,0.03916440593911787,-0.07917090390146653,0.06351940507308436,324889,636,100
formation,office,0.48128585289149295,0.15673653156863035,0.18356425239351895,0.742046029665907,324889,636,100
formation,origin_match,0.4092769906625519,0.047658982637619626,0.324488383671652,0.512281993246431,324889,636,100
formation,sector_finance,0.37800233753119017,0.11572544630882237,0.15701381735001857,0.5728407166166213,324889,636,100
formation,sector_land_property,0.45989309599757494,0.14590756639847247,0.18290307617175625,0.7305350336710195,324889,636,100
formation,sector_agriculture,0.21135722309060467,0.20146085244855472,-0.20332550473844818,0.5043661334220303,324889,636,100
retention,edges,0.6739099397589332,0.11652819250683931,0.4425952327224521,0.8724965315022578,1428,908,100
retention,b1star2,-0.021931366011829358,0.023892735008825706,-0.06712857722348596,0.024299461659678338,1428,908,100
retention,b2star2,-0.005376030145499083,0.04411654602717861,-0.07498535118905969,0.07814891727717127,1428,908,100
retention,office,0.08348993132210465,0.24862731552160658,-0.3018184647046245,0.5903689319053017,1428,908,100
retention,origin_match,-0.01068620070838231,0.06744024574963103,-0.12578529863751872,0.11645493496918562,1428,908,100
retention,sector_finance,-0.2439173619776167,0.15815081201233921,-0.5207656298315108,0.0800248648320508,1428,908,100
retention,sector_land_property,-0.07102226242525242,0.24658058061587923,-0.5064956860263369,0.4466451950254521,1428,908,100
retention,sector_agriculture,-0.26984733884901474,0.28688956903389407,-0.8002991802978032,0.31289262980338955,1428,908,100
