mention_id,year,person_id,person_label,person_printed,rank,honorific,company_id,company_label,company_printed,role,order,city,capital_currency,capital_amount,source_edition,source_page
59,1932,P00025,Barker Henry Kniglll Bachelor,Sir Barker Henry Kniglll Bachelor,,sir,C00149,Société Belgo-Egyptienne de l'Ezbékieh,Société Belgo-Egyplienne de l'Ezbékieh,president,0,,,,3,529
60,1932,P00025,Barker Henry Kniglll Bachelor,Sir Barker Henry Kniglll Bachelor,,sir,C00015,The Alexandria vVater Co. Ltd,The Alexandria 'Vater Cy,director,0,,,,3,529
61,1932,P00025,Barker Henry Kniglll Bachelor,Sir Barker Henry Kniglll Bachelor,,sir,C00076,Filature Nationale d'Egypte,Filature Nationale d'Egypte,director,0,,,,3,529
62,1932,P00025,Barker Henry Kniglll Bachelor,Sir Barker Henry Kniglll Bachelor,,sir,C00097,National Bank of Egypt,The National Bank of Egypt,director,0,,,,3,529
63,1932,P00025,Barker Henry Kniglll Bachelor,Sir Barker Henry Kniglll Bachelor,,sir,C00098,National Insurance Co,National Insurance Cy,director,0,,,,3,529
64,1932,P00025,Barker Henry Kniglll Bachelor,Sir Barker Henry Kniglll Bachelor,,sir,C00159,Société Egyptienne de la Bourse Commerciale de Minet El Bassal,Société Egyptienne de la Bourse Commerciale de Minet El Bassal,director,0,,,,3,529
65,1932,P00026,Biagi Dr. Enrico,Biagi Dr. Enrico,,,C00024,Banco Italo-Egiziano,Banco Ilalo-Egiziano,general_manager,0,,,,3,529
66,1932,P00026,Biagi Dr. Enrico,Biagi Dr. Enrico,,,C00095,"National Bank of Egypl, The Agr.icultural Bank of Egypt el elu Crédil Foncier Egyptien","National Bank of Egypl, The Agr.icultural Bank of Egypt el elu Crédil Foncier Egyptien",director,0,,,,3,529
67,1932,P00027,Blattner C. D. Henry,Blattner C. D. Henry,,,C00238,inistraleur-Directcnr en Egypte de The Sinaï Mining Cy,inistraleur-Directcnr en Egypte de The Sinaï Mining Cy,director,0,,,,3,529
68,1932,P00028,Boulad Khalil,Boulad Khalil,,,C00203,The Delta Land & Investment Cy,The Delta Land & Investment Cy,member,0,,,,3,529
69,1932,P00029,Bourre Edouard,Bourre Edouard,,,C00091,Land Bank of Egypt,Land Bank of Egypt,managing_director,0,,,,3,529
70,1932,P00029,Bourre Edouard,Bourre Edouard,,,C00099,National Insurance Co. of Egypt,National Insurance Cy of Egypt,vice_president,0,,,,3,529
71,1932,P00029,Bourre Edouard,Bourre Edouard,,,C00125,S.A. du Béhéra,S. A. du Béhéra,director,0,,,,3,529
72,1932,P00030,Boyé Jean André,Boyé Jean André,,,C00067,Ecole Française de Droit du Caire,Ecole Française de Droit du Caire,manager,0,,,,3,530
73,1932,P00030,Boyé Jean André,Boyé Jean André,,,C00180,Société d'Economie Politique,Société d'Economie Politique,council_member,0,,,,3,530
74,1932,P00030,Boyé Jean André,Boyé Jean André,,,C00178,Société Royale de Papyrologie d'Egypte,Société Royale de Papyrologie d'Egypte,council_member,0,,,,3,530
75,1932,P00030,Boyé Jean André,Boyé Jean André,,,C00003,"« Al-Chark » (L'Orient), Société Anonyme Egyptienne cl' Assurances sur la Vie","« Al Chark » (L'Orient), Société Anonyme Egyptienne d'Assurance sur la Vie",director,0,,,,3,530
76,1932,P00031,Brereton H. K,Brereton H. K,,,C00059,Crédit Agricole d'Egypte,Crédit Agricole d'Egypte,manager,0,,,,3,530
77,1932,P00031,Brereton H. K,Brereton H. K,,,C00059,Crédit Agricole d'Egypte,Crédit Agricole d'Egypte,director,0,,,,3,530
78,1932,P00032,Campos A,Campos A,,,C00113,S.A. Agricole et Industrielle d'Egypte,S. A. Agricole et Industrielle d'Egypte,president,0,,,,3,530
79,1932,P00033,Campos Benvenuto,Campos Benvenuto,,,C00170,Société Générale d'Electricité,Société Générale d'Electricité,managing_director,0,,,,3,530
80,1932,P00033,Campos Benvenuto,Campos Benvenuto,,,C00094,Mécanique,Mécanique,managing_director,0,,,,3,530
81,1932,P00034,Campos Giuseppe,Campos Giuseppe,,,C00170,Société Générale d'Electricité,Société Générale d'Electricité,director,0,,,,3,530
82,1932,P00034,Campos Giuseppe,Campos Giuseppe,,,C00094,Mécanique,Mécanique,director,0,,,,3,530
83,1932,P00035,Cantoni Charles,Cantoni Charles,,,C00056,Crown Brewery,Crown Brewery,president,0,,,,3,530
84,1932,P00036,Carver H. B,Carver H. B,,,C00039,Car ver Br os & Co Ltd,Car ver Br os & Co Ltd,director,0,,,,3,530
85,1932,P00036,Carver H. B,Carver H. B,,,C00023,"The Associated Cotton Gin· ners of Egypt, Ltd","The Associated Cotton Ginners of Egypt, Ltd",director,0,,,,3,530
86,1932,P00036,Carver H. B,Carver H. B,,,C00172,Société Générale de Pressage el de Dépôts,Société Générale de Pressage et Dépôts,director,0,,,,3,530
87,1932,P00037,Cattaui Aslan,Cattaui Bey Aslan J,,,C00073,Egyptian Salt & Soda,The Egyptian Salt & Soda,director,0,,,,3,530
88,1932,P00038,Cattaui Edgard de,Cattaui Edgard de,,,C00147,Société Anonyme du Chemin de Fer Ken eh-Assouan,Société Anonyme du Chemin de Fer Ken eh-Assouan,managing_director,0,,,,3,530
89,1932,P00038,Cattaui Edgard de,Cattaui Edgard de,,,C00242,suivantes Sociétés,suivantes Sociétés,director,0,,,,3,530
90,1932,P00039,Cattaui Elie J,Cattaui Elie J,,,C00170,Société Générale d'Electricité,Société Générale d'Electricité,president,0,,,,3,530
91,1932,P00039,Cattaui Elie J,Cattaui Elie J,,,C00094,Mécanique,Mécanique,president,0,,,,3,530
92,1932,P00040,Cattaui Emile,Cattaui Emile,,,C00088,Kafr El Zay at Cotton Cy,Kafr El Zay at Cotton Cy,director,0,,,,3,530
93,1932,P00041,Cattaui Joseph A.,S.E. Cattaui Pacha Joseph A,,s.e.,C00118,S. A. de Wadi- Kom-Ombo,S. A. Wadi Kom Ombo,president,0,,,,3,530
94,1932,P00041,Cattaui Joseph A.,S.E. Cattaui Pacha Joseph A,,s.e.,C00050,Compagnie Frigorifique d'Egypte,Compagnie Frigorifique d'Egypte,president,0,,,,3,530
95,1932,P00041,Cattaui Joseph A.,S.E. Cattaui Pacha Joseph A,,s.e.,C00184,Société des Halles Centrales,Société des Halles Centrales,president,0,,,,3,530
96,1932,P00041,Cattaui Joseph A.,S.E. Cattaui Pacha Joseph A,,s.e.,C00165,Société Foncière d'Egypte,Société Foncière d'Egypte,president,0,,,,3,530
97,1932,P00041,Cattaui Joseph A.,S.E. Cattaui Pacha Joseph A,,s.e.,C00057,Crown Egypt Co,Crown Egypt Co,president,0,,,,3,530
98,1932,P00041,Cattaui Joseph A.,S.E. Cattaui Pacha Joseph A,,s.e.,C00171,Société Générale d'Irrigation,Société Générale d'Irrigation,vice_president,0,,,,3,530
99,1932,P00041,Cattaui Joseph A.,S.E. Cattaui Pacha Joseph A,,s.e.,C00164,Société Foncière du,Société Foncière,managing_director,0,,,,3,530
100,1932,P00042,Cattaui René,Cattaui René Bey,bey,,C00118,S. A. de Wadi- Kom-Ombo,S. A. du Wadi Kom Ombo,general_manager,0,,,,3,531
101,1932,P00042,Cattaui René,Cattaui René Bey,bey,,C00047,Commercial Bank of Egypt,Commercial Bank of Egypt,director,0,,,,3,531
102,1932,P00043,Chafik Pacha Mohamed,S.E. Chafik Pacha Mohamed,,s.e.,C00187,Technique de la Société Générale d'Irrigation,Technique de la Société Générale d'Irrigation,adviser,0,,,,3,531
103,1932,P00043,Chafik Pacha Mohamed,S.E. Chafik Pacha Mohamed,,s.e.,C00025,Banco Ilalo-Egiziano ct de The Electric Light & Power Supply,Banco Ilalo-Egiziano ct de The Electric Light & Power Supply,director,0,,,,3,531
104,1932,P00044,Constantin Jean Choremi Assocjé de la Y.Iaison Choremi,Constantin Jean Choremi Assocjé de la Y.Iaison Choremi,,,C00017,Alexandrin Exchange Co,Alexandrin Exchange Co,president,0,,,,3,531
105,1932,P00044,Constantin Jean Choremi Assocjé de la Y.Iaison Choremi,Constantin Jean Choremi Assocjé de la Y.Iaison Choremi,,,C00023,"The Associated Cotton Gin· ners of Egypt, Ltd","Associated Cotton Gin ners of Egypt, Ltd",president,0,,,,3,531
106,1932,P00044,Constantin Jean Choremi Assocjé de la Y.Iaison Choremi,Constantin Jean Choremi Assocjé de la Y.Iaison Choremi,,,C00016,Alexandrie & Ramleh Rail ways Cy. Ltd,Alexandrie & Ramleh Rail ways Cy. Ltd,director,0,,,,3,531
107,1932,P00045,Choucry Mahmoud Pacha Ancien :\Iinistrc,S.E. Choucry Mahmoud Pacha Ancien :\Iinistrc,,s.e.,C00032,Banque du Crédit Agricole d'Egypte,Banque de Crédit Agricole d'Egyple,president,0,,,,3,531
108,1932,P00045,Choucry Mahmoud Pacha Ancien :\Iinistrc,S.E. Choucry Mahmoud Pacha Ancien :\Iinistrc,,s.e.,C00032,Banque du Crédit Agricole d'Egypte,Banque de Crédit Agricole d'Egyple,managing_director,0,,,,3,531
109,1932,P00045,Choucry Mahmoud Pacha Ancien :\Iinistrc,S.E. Choucry Mahmoud Pacha Ancien :\Iinistrc,,s.e.,C00027,Banque Hypothécaire,Banque Hypothécaire,president,0,,,,3,531
110,1932,P00045,Choucry Mahmoud Pacha Ancien :\Iinistrc,S.E. Choucry Mahmoud Pacha Ancien :\Iinistrc,,s.e.,C00027,Banque Hypothécaire,Banque Hypothécaire,managing_director,0,,,,3,531
111,1932,P00045,Choucry Mahmoud Pacha Ancien :\Iinistrc,S.E. Choucry Mahmoud Pacha Ancien :\Iinistrc,,s.e.,C00026,Banque Belge et Internationale en Egypte,Banque Belge et In ternationale en Egypte,committee_member,0,,,,3,531
112,1932,P00045,Choucry Mahmoud Pacha Ancien :\Iinistrc,S.E. Choucry Mahmoud Pacha Ancien :\Iinistrc,,s.e.,C00044,Cie d'Assurances << Al Chark )),Cie d'Assurances << Al Chark )),committee_member,0,,,,3,531
113,1932,P00046,Christomanos A. Max,Christomanos A. Max,,,C00248,üsociation dll Commerce d'lm.portation,üsociation dll Commerce d'lm.portation,vice_president,0,,,,3,531
114,1932,P00046,Christomanos A. Max,Christomanos A. Max,,,C00030,Banque d'Athènes à Alexandrie,Banque d'Athènes à Alexandrie,manager,0,,,,3,531
115,1932,P00046,Christomanos A. Max,Christomanos A. Max,,,C00202,The Crownegypt Co,The Crownegypt Co,member,0,,,,3,531
116,1932,P00046,Christomanos A. Max,Christomanos A. Max,,,C00214,Gabbari Land Co,The Gabbari Land Cy,member,0,,,,3,531
117,1932,P00046,Christomanos A. Max,Christomanos A. Max,,,C00133,Société Anonyme Immobilière d'Alexandrie,Société Anonyme Immobilière d'Alexandrie,member,0,,,,3,531
118,1932,P00047,Cicurel David,Cicurel David,,,C00012,Alexandria Pressing Co,Alexandria Pressing,director,0,,,,3,531
119,1932,P00048,Cicurel Joseph,Cicurel Joseph,,,C00028,Banque Misr,Banque Misr,director,0,,,,3,531
120,1932,P00049,Cohen Alfred N,Cohen N. Alfred,,,C00179,Société d'Avances Commerciales,Société d'Avances Commerciales,president,0,,,,3,531
121,1932,P00049,Cohen Alfred N,Cohen N. Alfred,,,C00179,Société d'Avances Commerciales,Société d'Avances Commerciales,managing_director,0,,,,3,531
122,1932,P00049,Cohen Alfred N,Cohen N. Alfred,,,C00206,The Egypt and Sudan Export Co,The Egypt and Sudan Export Co,president,0,,,,3,531
123,1932,P00049,Cohen Alfred N,Cohen N. Alfred,,,C00206,The Egypt and Sudan Export Co,The Egypt and Sudan Export Co,managing_director,0,,,,3,531
124,1932,P00050,Edward Cook C.S.I,Sir Edward Cook C.S.I,,sir,C00002,The Agricultural Bank of Egypt,Agricultural Bank of Egypt,president,0,,,,3,531
125,1932,P00051,Cook John Lt.-Col. A. Gt. D.S.O,Cook John Lt.-Col. A. Gt. D.S.O,,,C00071,Egyptian Markets,Egyptian Markets,president,0,,,,3,531
126,1932,P00052,G. Corsi,G. Corsi,,,C00225,The nited Egyptian Nile Transport Co,The nited Egyptian Nile Transport Co,president,0,,,,3,532
127,1932,P00053,Diacono Robert M.B.E,Diacono Robert M.B.E,,,C00193,The Anglo-Ame- rican Nile & Tourist Co,The Anglo-Ame- rican Nile & Tourist Co,managing_director,0,,,,3,532
128,1932,P00054,Emine Yehia,S.E. Emine Yehia Pacha,pasha,s.e.,C00212,The Egyptian Produce Trading Cy. S. A. E,The Egyptian Produce Trading Cy,president,0,,,,3,532
129,1932,P00054,Emine Yehia,S.E. Emine Yehia Pacha,pasha,s.e.,C00026,Banque Belge et Internationale en Egypte,Banque Belge et Internationale en Egypte,vice_president,0,,,,3,532
130,1932,P00054,Emine Yehia,S.E. Emine Yehia Pacha,pasha,s.e.,C00073,Egyptian Salt & Soda,The Egyptian Salt & Soda,president,0,,,,3,532
131,1932,P00054,Emine Yehia,S.E. Emine Yehia Pacha,pasha,s.e.,C00146,Société Anonyme du Béhéra,Société Anonyme du Béhéra,director,0,,,,3,532
132,1932,P00054,Emine Yehia,S.E. Emine Yehia Pacha,pasha,s.e.,C00070,Egyptian Joint Cotton Committee,Egyptian Joint Cotton Committee,vice_president,0,,,,3,532
133,1932,P00054,Emine Yehia,S.E. Emine Yehia Pacha,pasha,s.e.,C00077,Fédération Egyptienne des Industries en E~gypte,Fédération Egyptienne des Industries en E~gypte,vice_president,0,,,,3,532
134,1932,P00055,Empain François,Baron Empain François,,baron,C00038,Cairo-Heliopolis,Cairo-Heliopolis,director,0,,,,3,532
135,1932,P00055,Empain François,Baron Empain François,,baron,C00038,Cairo-Heliopolis,Cairo-Heliopolis,president,0,,,,3,532
136,1932,P00055,Empain François,Baron Empain François,,baron,C00026,Banque Belge et Internationale en Egypte,Banque Belge et Internationale en Egypte,director,0,,,,3,532
137,1932,P00055,Empain François,Baron Empain François,,baron,C00229,"Tramways du Caire, ainsi que de nombreuses autres Sociétés Belges et Etrangères","Tramways du Caire, ainsi que de nombreuses autres Sociétés Belges et Etrangères",director,0,,,,3,532
138,1932,P00056,Fakhry Mahmoud,S.E. Fakhry Pacha Mahmoud,,s.e.,C00198,The Cairo Electric Railways and Heliopolis Oases Co,The Cairo Electric Rallways & Heliopolis Oases Cy,director,0,,,,3,533
139,1932,P00057,Fenderl Hugo,Fenderl Hugo,,,C00109,Presses Libres Egyptiennes,Presses Libres Egypliennes,director,0,,,,3,533
140,1932,P00057,Fenderl Hugo,Fenderl Hugo,,,C00159,Société Egyptienne de la Bourse Commerciale de Minet El Bassal,Société Egyptienne de la Bourse Commerciale de Minet El Bassa!,director,0,,,,3,533
141,1932,P00058,Finney Harold E,Finney Harold,,,C00124,S.A. des Presses Libres Egyptiennes,S. A. des Presses Libres Egyptiennes,director,0,,,,3,533
142,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00008,Alexandria Commercial Co,Alexandria Commercial Co,president,0,,,,3,533
143,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00124,S.A. des Presses Libres Egyptiennes,S. A. des Presses Libres Egyptiennes,president,0,,,,3,533
144,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00127,S.A.I. des Terrains Ghizeh et Rodah,S.A.I. des Terrains Ghizeh et Rodah,president,0,,,,3,533
145,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00152,Société Egyptienne d'Egrenage,Société Egyptienne d'Egrenage,president,0,,,,3,533
146,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00075,Entrepôts,Entrepôts,president,0,,,,3,533
147,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00177,Société Orientale de Publicité (S.A.E.),Société Orientale de Publicité (S.A.E.),president,0,,,,3,533
148,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00010,Alexandria Insurance Co,Alexandria Insurance Co. (S.A.E.),vice_president,0,,,,3,533
149,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00146,Société Anonyme du Béhéra,Société Anonyme du Béhéra,director,0,,,,3,533
150,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00076,Filature Nationale d'Egypte,Filature Nationale d'Egypte,director,0,,,,3,533
151,1932,P00059,Finney Oswald J,Finney Oswald J,,,C00156,Société Egyptienne de Ja Bourse Commerciale de ~li net El Bass al,Société Egyptienne de Ja Bourse Commerciale de ~li net El Bass al,director,0,,,,3,533
152,1932,P00060,Fitzgerard Francis C. R. E,Fitzgerard Francis C. R. E,,,C00019,Anglo-Belgian Co. of Egypt,Anglo Belgian Co of Egypt et,president,0,,,,3,533
153,1932,P00060,Fitzgerard Francis C. R. E,Fitzgerard Francis C. R. E,,,C00052,Société Anonyme des Eaux du Caire,Eaux du Caire,director,0,,,,3,533
154,1932,P00061,Foster G. C,Foster G. C,,,C00146,Société Anonyme du Béhéra,Société Anonyme du Béhéra,managing_director,0,,,,3,533
155,1932,P00062,Friend Astley P,Friend Astley P,,,C00021,Anglo-American Nile et Tou rist Co,Anglo-American Nile et Tou rist Co,president,0,,,,3,533
156,1932,P00062,Friend Astley P,Friend Astley P,,,C00092,The Menzaleh Canal Navigation Co,Menzaleh Canal Navigation,president,0,,,,3,533
157,1932,P00063,Fumaroli,Fumaroli J,,,C00084,Gérance Immobilière ct de la Yiodern Buildings,Gérance Immobilière ct de la Yiodern Buildings,president,0,,,,3,533
