company_id,year,printed_name,name_key
C00048,1932,Eaux du Caire,eaux caire
C00063,1932,Ecole Française de Droit du Caire,ecole francaise droit caire
C00064,1932,Egyptian Consolidated Land Ltd,egyptian consolidated land
C00065,1932,Egyptian Delta Land & Investment,egyptian delta land investment cy
C00065,1932,Egyptian Delta Land & Investment Cy,egyptian delta land investment cy
C00066,1932,Egyptian Joint Cotton Committee,egyptian joint cotton committee
C00067,1932,Egyptian Markets,egyptian markets
C00068,1932,Egyptian Motor Transport Co,egyptian 1 oeotor transport co
C00069,1932,Egyptian Salt & Soda,egyptian salt soda
C00070,1932,Electricity & lee Supply Co,electricity lee supply co
C00071,1932,Entrepôts,entrepots
C00072,1932,Filature Nationale d'Egypte,filature nationale egypte
C00073,1932,Fédération Egyptienne des Industries en E~gypte,federation egyptienne industries
C00074,1932,Fédération des Industries en Egypte,federation industries egypte
C00075,1932,Gabbari Land,gabbari land co
C00075,1932,Gabbary Land,gabbari land co
C00076,1932,Gharbieh Land Co,gharbieh land co
C00076,1932,Gharbieh Land Cy,gharbieh land co
C00077,1932,Grands-Hôtels d'Egyple,s grands hotelscl egyptc
C00078,1932,Gérance Immobilière,generale immobiliere egypte
C00079,1932,Gérance Immobilière ct de la Yiodern Buildings,gerance immobiliere ct yiodern buildings
C00080,1932,Industrie,industrie
C00081,1932,"J os y Film, S. A. E",josy film s e
C00082,1932,Ka fr El Zayat Cotton Company,kafr el zayat cotton co
C00082,1932,Kafr El Zay at Cotton Company,kafr el zayat cotton co
C00082,1932,Kafr El Zay at Cotton Cy,kafr el zayat cotton co
C00083,1932,Koubbeh Gardens,koubbeh gardens
C00084,1932,Land Bank,land bank egypt
C00084,1932,Land Bank of Egypt,land bank egypt
C00085,1932,Maison Bchrend & Co Ltd,maison bellrend co
C00086,1932,Menzaleh Canal Navigation,menzaleh canal navigation co
C00087,1932,Mortgage Cy,mortgage co egypt
C00088,1932,Mécanique,mecanique
C00089,1932,"National Bank of Egypl, The Agr.icultural Bank of Egypt el elu Crédil Foncier Egyptien",national bank egypl agr icultural bank egypt el elu credil foncier egyptien
C00090,1932,"National Bank of Egypt, The Agricultural Bank of Egypt",national bank egypt agricultural bank egypt
C00091,1932,National Bank of Egypt. s,national bank egypt
C00092,1932,National Insurance Co,national insurance co
C00092,1932,National Insurance Co. or Egypt,national insurance co
C00092,1932,National Insurance Company of Egypt,national insurance co
C00092,1932,National Insurance Cy,national insurance co
C00092,1932,National Insurance Cy of Egypt,national insurance co
C00093,1932,National Petroleum Cy,national petroleum cy
C00091,1932,Nationnl Bank of Egypt,national bank egypt
C00094,1932,New Egyptian Co,new egyptian co
C00095,1932,New Egyptian Co et S. A. des Bières Bomonti et Pyramides,new egyptian co s bieres bomonti pyramides
C00094,1932,New Egyptian Cy,new egyptian co
C00094,1932,New-Egyptian Cy,new egyptian co
C00096,1932,Omnibus du Caire,omnibus caire
C00097,1932,Palestine Hotels Co. Ltd,palestine hotels co
C00098,1932,Port-Said Salt Assoc,port said salt assoc
C00099,1932,Postes Egyptiennes,postes egyptiennes
C00100,1932,"Pressage du Coton. S.E. Sir Ismail Sirry Pacha K.C.M.G., Anci('n",pressage coton s e sir ismail sirry pacha k c m g anci n
C00101,1932,Presses Libres Egypliennes,s presses libres egyptiennes
C00102,1932,Raffinerie d'Egypte,raffinerie egypte
C00103,1932,Rosetta & Alex andria Riec MiJJs,rosetta alexandria rice mills
C00104,1932,Réunion des Compagnies d'Assurances sur la Vie,reunion compagnies assurances sur vie
C00105,1932,S. A. Agricole et Industrielle d'Egypte,s agricole industrielle egypte
C00106,1932,"S. A. Ciment Portland, Tourab",ciment portland tourah
C00107,1932,S. A. E. Fiat Oriente,fiat oriente s e
C00108,1932,S. A. Immobilière du Domaine de Siouf,immobiliere domaine siouf
C00077,1932,S. A. Les Grands Hôtelscl'Egyptc,s grands hotelscl egyptc
C00109,1932,S. A. Wadi Kom Ombo,wadi kom ombo
C00110,1932,S. A. de Nettoyage,nettoyage
C00111,1932,S. A. de Pressage et Dépôts,ste gle pressage depots
C00035,1932,S. A. des Chemins de Fer Keneh-Assouan,chemin fer ken eh assouan
C00112,1932,S. A. des Entreprises Urbaines et Rurales,entreprises urbaines rurales
C00113,1932,S. A. des Immeubles de l'Est,immeubles est
C00101,1932,S. A. des Presses Libres Egyptiennes,s presses libres egyptiennes
C00114,1932,S. A. du Béhéra,s behera
C00115,1932,S. A. du Nettoyage et Pressage du Coton,s nettoyage pressage coton s e
C00109,1932,S. A. du Wadi Kom Ombo,wadi kom ombo
C00116,1932,S.A.I. des Terrains Ghizeh et Rodah,s i terrains ghizeh rodah
C00117,1932,Salonica Cigarette Co,salonica cigarette co
C00118,1932,Sidi Salem Co,sidi salem co
C00119,1932,Société <( Maarad l>,maarad
C00105,1932,Société Anonyme Agrico1e et Industrielle d'Egypte,s agricole industrielle egypte
C00120,1932,Société Anonyme Agricole et Industrielle d'Egyptc,agricole industrielle egyptc
C00121,1932,Société Anonyme Immobilière d'Alexandrie,immobiliere alexandrie s f
C00108,1932,Société Anonyme Immobilière du Domaine de Siouf,immobiliere domaine siouf
C00048,1932,Société Anonyme d.es Eaux du Caire,eaux caire
C00115,1932,Société Anonyme de Nettoyage et Pressage du Coton,s nettoyage pressage coton s e
C00109,1932,Société Anonyme de Wadi Kom Ombo,wadi kom ombo
C00122,1932,Société Anonyme des Anciennes Entreprises L. Rolin et Co,anciennes entreprises rolin co
C00123,1932,Société Anonyme des Chemins de Fer de la Basse Egypte,chemins fer basse egypte
C00123,1932,Société Anonyme des Chemins de Fer de la Basse-Egypte,chemins fer basse egypte
C00124,1932,Société Anonyme des Ciments d'Egypte,ciments egypte
C00048,1932,Société Anonyme des Eaux du Caire,eaux caire
C00125,1932,Société Anonyme des Immeubles d'Egyptc,immeubles egyptc
C00126,1932,Société Anonyme des Immeubles d'Egypte,s immeubles egypte
C00113,1932,Société Anonyme des Immeubles de l'Est,immeubles est
C00127,1932,Société Anonyme des Tramways d'Alexandrie,tramways alexandrie
C00128,1932,Société Anonyme des Tramways du Caire,s tramways caire
C00128,1932,Société Anonyme des Trann\ ays du Caire,s tramways caire
