year,next_year,person_id,origin,office,seats,mates,pairs,open_share,effective_size,constraint,survives,seats_next,new_seats,growth,seat_cat
1932,1938,P00001,arab_egyptian,False,1,9,36,0.0,0.9999999999999984,0.3636852514725259,False,0,0,-1,1
1932,1938,P00002,arab_egyptian,False,1,9,36,0.0,0.9999999999999984,0.3636852514725259,True,1,1,0,1
1932,1938,P00003,arab_egyptian,False,1,2,1,0.0,1.0,1.125,False,0,0,-1,1
1932,1938,P00004,european,False,4,13,78,0.5641025641025641,9.527777777777779,0.22019985037626894,False,0,0,-4,4
1932,1938,P00005,local_minority,False,2,5,10,0.6,3.3999999999999995,0.4502317008468524,False,0,0,-2,2
1932,1938,P00006,local_minority,False,2,3,3,0.0,1.4,0.7449876543209879,False,0,0,-2,2
1932,1938,P00007,local_minority,False,2,3,3,0.0,1.4,0.7449876543209879,False,0,0,-2,2
1932,1938,P00008,local_minority,False,7,7,21,0.8095238095238095,5.944444444444445,0.3241030330742265,True,3,2,-4,5
1932,1938,P00009,unknown,False,1,5,10,0.0,1.7999999999999998,0.5016884288150523,False,0,0,-1,1
1932,1938,P00010,local_minority,False,1,0,0,,,,False,0,0,-1,1
1932,1938,P00011,local_minority,False,1,9,36,0.0,2.222222222222221,0.307135893934034,False,0,0,-1,1
1932,1938,P00012,local_minority,False,2,4,6,0.6666666666666666,3.125,0.3890451388888889,False,0,0,-2,2
1932,1938,P00013,local_minority,False,2,0,0,,,,False,0,0,-2,2
1932,1938,P00014,arab_egyptian,False,2,3,3,0.0,1.3333333333333335,0.6420307382212144,False,0,0,-2,2
1932,1938,P00015,arab_egyptian,False,6,2,1,1.0,2.0,0.5555555555555556,False,0,0,-6,5
1932,1938,P00016,arab_egyptian,True,1,9,36,0.0,0.9999999999999984,0.3636852514725259,False,0,0,-1,1
1932,1938,P00017,unknown,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00018,arab_egyptian,True,2,9,36,0.0,0.9999999999999984,0.3636852514725259,True,1,1,-1,2
1932,1938,P00019,arab_egyptian,False,3,12,66,0.3939393939393939,6.333333333333332,0.21552814402357218,False,0,0,-3,3
1932,1938,P00020,local_minority,False,1,3,3,0.0,1.0,0.7441975308641977,False,0,0,-1,1
1932,1938,P00021,unknown,False,1,2,1,0.0,1.3333333333333335,0.7214527546937519,False,0,0,-1,1
1932,1938,P00022,local_minority,False,1,0,0,,,,False,0,0,-1,1
1932,1938,P00023,european,False,6,5,10,0.8,4.416666666666666,0.3311238662131519,False,0,0,-6,5
1932,1938,P00024,unknown,False,1,0,0,,,,False,0,0,-1,1
1932,1938,P00025,european,False,7,21,210,0.7857142857142857,17.67948717948718,0.13211704869964416,False,0,0,-7,5
1932,1938,P00026,unknown,False,1,0,0,,,,False,0,0,-1,1
1932,1938,P00027,unknown,False,1,0,0,,,,False,0,0,-1,1
1932,1938,P00029,unknown,False,3,8,28,0.6428571428571429,5.777777777777778,0.2645630198708704,False,0,0,-3,3
1932,1938,P00030,european,False,1,4,6,0.0,1.0,0.7122395833333331,False,0,0,-1,1
1932,1938,P00031,european,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00032,unknown,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00033,unknown,False,2,3,3,0.0,1.0,0.925925925925926,False,0,0,-2,2
1932,1938,P00034,unknown,False,2,3,3,0.0,1.0,0.925925925925926,True,1,1,-1,2
1932,1938,P00035,european,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00036,european,False,4,4,6,0.6666666666666666,3.125,0.376752614268848,True,2,1,-2,4
1932,1938,P00037,local_minority,False,1,3,3,0.0,1.0,0.481154667981591,False,0,0,-1,1
1932,1938,P00038,local_minority,False,2,2,1,0.0,1.25,0.750625,False,0,0,-2,2
1932,1938,P00039,local_minority,False,2,3,3,0.0,1.0,0.925925925925926,False,0,0,-2,2
1932,1938,P00040,local_minority,False,1,1,0,,1.0,1.0,True,1,0,0,1
1932,1938,P00041,local_minority,True,6,6,15,0.5333333333333333,3.7142857142857144,0.35137073854672585,False,0,0,-6,5
1932,1938,P00042,local_minority,False,1,2,1,0.0,1.0,1.125,True,1,1,0,1
1932,1938,P00043,arab_egyptian,False,1,0,0,,,,False,0,0,-1,1
1932,1938,P00044,local_minority,False,4,13,78,0.6153846153846154,9.67857142857143,0.19271836624977218,False,0,0,-4,4
1932,1938,P00045,arab_egyptian,True,2,0,0,,,,True,5,5,3,2
1932,1938,P00046,local_minority,True,1,0,0,,,,True,1,1,0,1
1932,1938,P00047,local_minority,False,1,3,3,0.0,1.0,0.7441975308641977,True,1,0,0,1
1932,1938,P00048,local_minority,False,1,2,1,0.0,1.0,0.865,False,0,0,-1,1
1932,1938,P00049,local_minority,False,2,0,0,,,,False,0,0,-2,2
1932,1938,P00050,european,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00051,european,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00052,european,False,1,2,1,0.0,1.0,1.125,False,0,0,-1,1
1932,1938,P00053,european,False,1,2,1,0.0,1.0,1.125,False,0,0,-1,1
1932,1938,P00054,arab_egyptian,False,8,13,78,0.6923076923076923,10.282051282051281,0.15991662863166362,False,0,0,-8,5
1932,1938,P00055,european,False,3,5,10,0.0,2.1999999999999997,0.39043657276234706,False,0,0,-3,3
1932,1938,P00056,arab_egyptian,True,1,0,0,,,,False,0,0,-1,1
1932,1938,P00057,unknown,False,2,7,21,0.38095238095238093,4.0,0.313063453592729,False,0,0,-2,2
1932,1938,P00058,european,False,1,3,3,0.0,1.3333333333333335,0.5302067586293776,True,3,2,2,1
1932,1938,P00059,european,False,10,24,276,0.7463768115942029,19.30357142857143,0.11963297079990971,True,10,5,0,5
1932,1938,P00060,unknown,False,2,6,15,0.26666666666666666,2.8571428571428568,0.4537972551420073,True,2,1,0,2
1932,1938,P00061,unknown,False,1,4,6,0.0,2.041666666666667,0.3571280768224449,True,2,2,1,1
1932,1938,P00062,unknown,False,2,2,1,0.0,1.0,1.125,False,0,0,-2,2
1932,1938,P00063,european,False,3,3,3,0.6666666666666666,2.5555555555555554,0.48422591566635886,True,3,3,0,3
1932,1938,P00064,arab_egyptian,True,1,9,36,0.0,0.9999999999999984,0.3636852514725259,False,0,0,-1,1
1932,1938,P00065,arab_egyptian,False,1,9,36,0.0,0.9999999999999984,0.3636852514725259,True,2,2,1,1
1932,1938,P00066,unknown,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00067,european,False,1,5,10,0.0,1.7999999999999998,0.40128681452857284,True,7,6,6,1
1932,1938,P00068,unknown,False,4,2,1,1.0,2.0,0.5,False,0,0,-4,4
1932,1938,P00069,local_minority,False,1,9,36,0.0,2.222222222222221,0.30713589393403407,True,2,2,1,1
1932,1938,P00070,european,False,1,2,1,0.0,1.0,1.125,False,0,0,-1,1
1932,1938,P00071,european,True,2,4,6,0.0,1.0,0.7122395833333331,False,0,0,-2,2
1932,1938,P00072,arab_egyptian,True,1,9,36,0.0,0.9999999999999984,0.3636852514725259,False,0,0,-1,1
1932,1938,P00073,unknown,False,2,2,1,0.0,1.3333333333333335,0.8680555555555554,False,0,0,-2,2
1932,1938,P00074,unknown,False,1,2,1,0.0,1.0,1.0850694444444442,False,0,0,-1,1
1932,1938,P00075,arab_egyptian,True,1,2,1,0.0,1.0,0.9344444444444444,False,0,0,-1,1
1932,1938,P00076,unknown,False,1,4,6,0.0,1.0,0.7122395833333331,False,0,0,-1,1
1932,1938,P00077,unknown,False,3,4,6,0.6666666666666666,3.2,0.47361111111111115,False,0,0,-3,3
1932,1938,P00078,unknown,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00079,unknown,False,2,0,0,,,,False,0,0,-2,2
1932,1938,P00080,european,False,3,7,21,0.47619047619047616,4.75,0.3070732905989837,False,0,0,-3,3
1932,1938,P00081,european,False,1,5,10,0.0,2.1999999999999997,0.39043657276234706,False,0,0,-1,1
1932,1938,P00082,european,False,3,8,28,0.6071428571428571,5.812500000000001,0.2369910296474172,False,0,0,-3,3
1932,1938,P00083,unknown,False,1,0,0,,,,False,0,0,-1,1
1932,1938,P00084,unknown,False,2,0,0,,,,False,0,0,-2,2
1932,1938,P00085,local_minority,False,5,15,105,0.6095238095238096,10.266666666666666,0.17719257100656813,False,0,0,-5,5
1932,1938,P00086,unknown,False,2,6,15,0.2,2.75,0.43607063210959324,False,0,0,-2,2
1932,1938,P00087,unknown,False,1,2,1,0.0,1.25,0.6776147959183674,False,0,0,-1,1
1932,1938,P00088,unknown,False,1,6,15,0.0,2.944444444444444,0.39296979065442617,False,0,0,-1,1
1932,1938,P00089,unknown,False,2,1,0,,1.0,1.0,True,9,7,7,2
1932,1938,P00090,unknown,False,2,8,28,0.35714285714285715,4.685185185185185,0.3335555830246911,True,2,0,0,2
1932,1938,P00091,local_minority,False,3,3,3,0.6666666666666666,2.666666666666667,0.3854595336076817,True,2,1,-1,3
1932,1938,P00092,european,False,7,16,120,0.7333333333333333,12.868421052631577,0.16569598096388943,True,2,1,-5,5
1932,1938,P00094,local_minority,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00095,european,False,4,3,3,0.6666666666666666,2.3333333333333335,0.41916666666666663,False,0,0,-4,4
1932,1938,P00096,european,False,2,6,15,0.3333333333333333,3.333333333333334,0.3172682650750416,True,4,4,2,2
1932,1938,P00097,arab_egyptian,False,1,2,1,0.0,1.0,0.865,False,0,0,-1,1
1932,1938,P00098,local_minority,False,2,6,15,0.0,2.8095238095238098,0.3853622463970837,False,0,0,-2,2
1932,1938,P00099,unknown,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00100,arab_egyptian,True,3,15,105,0.5904761904761905,9.433333333333334,0.19216068294900204,True,12,9,9,3
1932,1938,P00101,local_minority,False,4,6,15,0.7333333333333333,4.666666666666667,0.2605574845679012,False,0,0,-4,4
1932,1938,P00102,european,False,2,13,78,0.44871794871794873,6.653846153846153,0.2265190762005005,True,4,3,2,2
1932,1938,P00103,arab_egyptian,False,3,6,15,0.5333333333333333,3.666666666666667,0.4652777777777777,False,0,0,-3,3
1932,1938,P00104,european,False,4,12,66,0.696969696969697,9.226190476190478,0.21177494538643588,False,0,0,-4,4
1932,1938,P00105,european,False,1,1,0,,1.0,1.0,False,0,0,-1,1
1932,1938,P00106,local_minority,True,3,2,1,0.0,1.0,0.7107859672794736,True,13,13,10,3
1932,1938,P00107,local_minority,False,1,0,0,,,,False,0,0,-1,1
1932,1938,P00109,local_minority,False,1,2,1,0.0,1.0,0.9027777777777779,False,0,0,-1,1
1932,1938,P00110,local_minority,True,1,4,6,0.0,1.0,0.7122395833333331,False,0,0,-1,1
1932,1938,P00111,unknown,False,2,4,6,0.6666666666666666,3.25,0.3765434559240363,False,0,0,-2,2
1932,1938,P00112,unknown,False,1,3,3,0.0,1.3333333333333335,0.5700960550777401,False,0,0,-1,1
1932,1938,P00113,local_minority,False,2,3,3,0.0,1.0,0.925925925925926,False,0,0,-2,2
1932,1938,P00114,european,False,2,4,6,0.3333333333333333,2.3,0.528503669712461,True,2,0,0,2
1932,1938,P00115,european,False,13,17,136,0.7720588235294118,14.363636363636363,0.14978952254965025,True,18,9,5,5
1932,1938,P00116,local_minority,False,1,0,0,,,,True,3,3,2,1
1932,1938,P00117,european,False,2,10,45,0.2,3.9000000000000004,0.2617516469581405,False,0,0,-2,2
1932,1938,P00118,european,False,2,2,1,0.0,1.0,0.8469444444444445,False,0,0,-2,2
1932,1938,P00119,local_minority,False,4,2,1,1.0,2.0,0.5,False,0,0,-4,4
1932,1938,P00120,local_minority,False,5,10,45,0.6444444444444445,7.45,0.2056380464315904,True,8,6,3,5
1932,1938,P00121,unknown,False,3,6,15,0.3333333333333333,3.3333333333333344,0.388319986741253,False,0,0,-3,3
1932,1938,P00122,local_minority,True,3,9,36,0.0,2.222222222222221,0.307135893934034,False,0,0,-3,3
1932,1938,P00123,local_minority,False,2,2,1,0.0,1.0,0.6247222222222223,True,3,1,1,2
1932,1938,P00124,european,False,1,1,0,,1.0,1.0,True,1,0,0,1
