form,term,estimate,boot_se,lo,hi,n_dyads,n_ties,n_boot
none,edges,-6.963541713997857,0.0977035656391565,-7.144068017812713,-6.78412897550486,324889,636,100
none,prior_seats,0.2218546829439711,0.0477957772342198,0.1463448988852872,0.3207260879861825,324889,636,100
none,prior_mates,-0.0433356412763715,0.0266233915437665,-0.104513957915478,-0.0083573825040679,324889,636,100
none,prior_board,0.028422906522499,0.0244984723896094,-0.0216025505318665,0.0744854992820519,324889,636,100
none,office,0.6382935526153644,0.162747668141755,0.3368767564710319,0.9569005373293824,324889,636,100
none,origin_match,0.3105369142861001,0.0519557413283806,0.2091327436120359,0.4144558930951469,324889,636,100
none,sector_finance,0.3850172819743145,0.1180854501346326,0.146723400986684,0.5808957300402886,324889,636,100
none,sector_land_property,0.4831893422522397,0.1470899921862284,0.1995670870854297,0.7568063851590708,324889,636,100
none,sector_agriculture,0.2389555626720883,0.2046354422406075,-0.1760573086768886,0.5180752281671733,324889,636,100
closure,edges,-6.839216512257142,0.1007493072237923,-7.0320462847468175,-6.66097257981571,324889,636,100
closure,prior_seats,0.2192752195055886,0.0474004365520093,0.1437075752916371,0.3255117223067415,324889,636,100
closure,prior_mates,-0.059697825435381,0.0298315635140774,-0.1275384267807855,-0.0210009737870652,324889,636,100
closure,prior_board,-0.0136105274181231,0.0270571604871528,-0.0676936534390467,0.0365225682360112,324889,636,100
closure,closure,1.194026455393913,0.1367505262779011,0.9888755783541556,1.502284531578199,324889,636,100
closure,office,0.6413666041394875,0.1687641074746234,0.3081228372097473,0.9647259607115112,324889,636,100
closure,origin_match,0.296694655420361,0.0538068240390425,0.1885879174162273,0.4014471156377777,324889,636,100
closure,sector_finance,0.3534871673445114,0.1195747032652908,0.109012014378739,0.5538825616143388,324889,636,100
closure,sector_land_property,0.4570827196812558,0.1452460990373411,0.184110183570603,0.7198997955805915,324889,636,100
closure,sector_agriculture,0.2524151626704197,0.2042958859182423,-0.1576697099018781,0.537637072259452,324889,636,100
closure_any,edges,-6.872843950987717,0.1008166434499552,-7.057741629274489,-6.689094508924161,324889,636,100
closure_any,prior_seats,0.2182709995944212,0.0461780300517757,0.1456436505978861,0.3225300026403178,324889,636,100
closure_any,prior_mates,-0.0593066950955463,0.0297878911578425,-0.1313282820105604,-0.021542192790059,324889,636,100
closure_any,prior_board,-0.0087646287663403,0.0261286238360927,-0.061033388967078,0.0404065165578581,324889,636,100
closure_any,closure_any,1.72306936468654,0.19680483782452,1.3981146003505294,2.1861699708689266,324889,636,100
closure_any,office,0.6093405219148943,0.1658878226080331,0.2858169490508624,0.9384017484025324,324889,636,100
closure_any,origin_match,0.2895220777395861,0.0528489820988962,0.1818207575926647,0.3896102128902129,324889,636,100
closure_any,sector_finance,0.3442204721350767,0.1207300012503704,0.0977436038185229,0.5450673139045176,324889,636,100
closure_any,sector_land_property,0.4603147009047749,0.1460118347195698,0.1816533800992636,0.7297287428555751,324889,636,100
closure_any,sector_agriculture,0.2407669026503615,0.2035663429972251,-0.1732105830775926,0.5297942812746796,324889,636,100
closure_log,edges,-6.842424766137349,0.1015479390408086,-7.033826268669335,-6.661013754726096,324889,636,100
closure_log,prior_seats,0.2181203820163222,0.0466955781377422,0.1440709495010869,0.3239356410392493,324889,636,100
closure_log,prior_mates,-0.0611118898674216,0.0302289014441198,-0.1324655666716086,-0.0224534498395318,324889,636,100
closure_log,prior_board,-0.0152740454947362,0.0268742923997393,-0.0691707220070262,0.0341510146213692,324889,636,100
closure_log,closure_log,2.224431710959262,0.2593294590715069,1.8252333731403032,2.813173797227048,324889,636,100
closure_log,office,0.6232021553131328,0.1677693374232319,0.2947670069492364,0.9516104699976052,324889,636,100
closure_log,origin_match,0.289440168247625,0.053236299548559,0.1783382996273599,0.3906036130787705,324889,636,100
closure_log,sector_finance,0.3424633741489101,0.1205495605768556,0.0953513482858344,0.5470103451978986,324889,636,100
closure_log,sector_land_property,0.4526723519513616,0.1450797342848171,0.177676161072162,0.7155409559280866,324889,636,100
closure_log,sector_agriculture,0.2485936551913871,0.2038262229563548,-0.1666944295929035,0.5369701083969781,324889,636,100
closure4,edges,-6.858661540683158,0.0982033737225353,-7.042435173231259,-6.677816965022194,324889,636,100
closure4,prior_seats,0.2101099171705507,0.0480611890882902,0.1341547974497929,0.3096258596484408,324889,636,100
closure4,prior_mates,-0.0524445255571077,0.0301751924488945,-0.1229590531147418,-0.0138193457142376,324889,636,100
closure4,prior_board,-0.0013306738204813,0.0257943005625423,-0.052850153851924,0.0486434442830213,324889,636,100
closure4,closure4,0.7328032602549279,0.1254795226216982,0.5557234558620219,1.0225857075182256,324889,636,100
closure4,office,0.6466474847494365,0.1670803632686525,0.3241680250767034,0.9651495565375402,324889,636,100
closure4,origin_match,0.3055318472283473,0.0526860537556456,0.1961525541910528,0.4092486724780198,324889,636,100
closure4,sector_finance,0.3671076943980234,0.1186594880335165,0.1255535056703137,0.5676874516798026,324889,636,100
closure4,sector_land_property,0.4490328700814305,0.1463939523516041,0.1651086072593685,0.717514002892321,324889,636,100
closure4,sector_agriculture,0.2365115160133043,0.2083025125303514,-0.1836413719028673,0.5182165574399348,324889,636,100
