year,observed_diff,p_perm,null_lo,null_hi,d
1932,0.7726070305460809,0.0727,-0.8582319784118108,0.8340156270823367,0.4656705582905816
1938,0.17519355415928156,0.33095,-0.34915275215963165,0.34912176098756853,0.17095204089956234
1942,-0.09129976265151368,0.3283,-0.18119081132056497,0.18134803539996014,-0.12287042217622336
1947,-0.11948531006854918,0.27265,-0.20807275526911032,0.21591723581394848,-0.13762309508334541
1950,0.021620421470085027,0.7915,-0.15579460480581842,0.1639214509373425,0.026785885147352053
