year,company_id,n_directors,n_political,n_national,share_political,connected
1932,C00001,11,1,1,0.09090909090909091,True
1932,C00002,1,0,0,0.0,False
1932,C00003,2,0,0,0.0,False
1932,C00004,5,2,2,0.4,True
1932,C00005,7,0,0,0.0,False
1932,C00006,2,0,0,0.0,False
1932,C00007,1,1,1,1.0,True
1932,C00008,4,0,0,0.0,False
1932,C00009,6,0,0,0.0,False
1932,C00010,2,0,0,0.0,False
1932,C00011,1,0,0,0.0,False
1932,C00012,3,1,1,0.3333333333333333,True
1932,C00013,3,0,0,0.0,False
1932,C00014,3,0,0,0.0,False
1932,C00015,3,0,0,0.0,False
1932,C00016,2,0,0,0.0,False
1932,C00017,1,0,0,0.0,False
1932,C00018,7,1,1,0.14285714285714285,True
1932,C00019,1,1,1,1.0,True
1932,C00020,3,0,0,0.0,False
1932,C00021,2,0,0,0.0,False
1932,C00022,1,1,0,1.0,True
1932,C00023,10,5,5,0.5,True
1932,C00024,1,1,1,1.0,True
1932,C00025,1,0,0,0.0,False
1932,C00026,6,0,0,0.0,False
1932,C00027,5,0,0,0.0,False
1932,C00028,1,0,0,0.0,False
1932,C00029,2,0,0,0.0,False
1932,C00030,3,0,0,0.0,False
1932,C00031,1,0,0,0.0,False
1932,C00032,1,0,0,0.0,False
1932,C00033,1,0,0,0.0,False
1932,C00034,3,0,0,0.0,False
1932,C00035,3,0,0,0.0,False
1932,C00036,1,1,1,1.0,True
1932,C00037,2,1,1,0.5,True
1932,C00038,1,0,0,0.0,False
1932,C00039,1,0,0,0.0,False
1932,C00040,1,0,0,0.0,False
1932,C00041,1,0,0,0.0,False
1932,C00042,2,0,0,0.0,False
1932,C00043,3,0,0,0.0,False
1932,C00044,1,0,0,0.0,False
1932,C00045,1,0,0,0.0,False
1932,C00046,1,0,0,0.0,False
1932,C00047,4,1,1,0.25,True
1932,C00048,6,0,0,0.0,False
1932,C00049,1,0,0,0.0,False
1932,C00050,1,0,0,0.0,False
1932,C00051,1,1,1,1.0,True
1932,C00052,2,0,0,0.0,False
1932,C00053,1,1,1,1.0,True
1932,C00054,2,1,0,0.5,True
1932,C00055,2,0,0,0.0,False
1932,C00056,5,0,0,0.0,False
1932,C00057,1,0,0,0.0,False
1932,C00058,1,0,0,0.0,False
1932,C00059,1,0,0,0.0,False
1932,C00060,1,0,0,0.0,False
1932,C00061,1,1,1,1.0,True
1932,C00062,4,0,0,0.0,False
1932,C00063,1,0,0,0.0,False
1932,C00064,1,0,0,0.0,False
1932,C00065,3,1,1,0.3333333333333333,True
1932,C00066,1,0,0,0.0,False
1932,C00067,2,0,0,0.0,False
1932,C00068,1,0,0,0.0,False
1932,C00069,5,1,1,0.2,True
1932,C00070,1,0,0,0.0,False
1932,C00071,1,0,0,0.0,False
1932,C00072,7,1,1,0.14285714285714285,True
1932,C00073,1,0,0,0.0,False
1932,C00074,1,0,0,0.0,False
1932,C00075,5,2,1,0.4,True
1932,C00076,2,0,0,0.0,False
1932,C00077,2,0,0,0.0,False
1932,C00078,1,0,0,0.0,False
1932,C00079,1,0,0,0.0,False
1932,C00080,1,0,0,0.0,False
1932,C00081,1,0,0,0.0,False
1932,C00082,3,0,0,0.0,False
1932,C00083,2,0,0,0.0,False
1932,C00084,5,0,0,0.0,False
1932,C00085,1,0,0,0.0,False
1932,C00086,1,0,0,0.0,False
1932,C00087,2,0,0,0.0,False
1932,C00088,4,0,0,0.0,False
1932,C00089,1,0,0,0.0,False
1932,C00090,1,0,0,0.0,False
1932,C00091,4,0,0,0.0,False
1932,C00092,6,2,2,0.3333333333333333,True
1932,C00093,2,0,0,0.0,False
1932,C00094,4,0,0,0.0,False
1932,C00095,1,0,0,0.0,False
1932,C00096,2,0,0,0.0,False
1932,C00097,1,0,0,0.0,False
1932,C00098,1,0,0,0.0,False
1932,C00099,1,1,1,1.0,True
1932,C00100,1,0,0,0.0,False
1932,C00101,4,0,0,0.0,False
1932,C00102,2,0,0,0.0,False
1932,C00103,1,0,0,0.0,False
1932,C00104,1,1,1,1.0,True
1932,C00105,2,0,0,0.0,False
1932,C00106,1,0,0,0.0,False
1932,C00107,1,0,0,0.0,False
1932,C00108,3,1,1,0.3333333333333333,True
1932,C00109,3,1,1,0.3333333333333333,True
1932,C00110,1,0,0,0.0,False
1932,C00111,1,0,0,0.0,False
1932,C00112,3,0,0,0.0,False
1932,C00113,3,0,0,0.0,False
1932,C00114,3,0,0,0.0,False
1932,C00115,2,0,0,0.0,False
1932,C00116,1,0,0,0.0,False
1932,C00117,1,0,0,0.0,False
1932,C00118,2,0,0,0.0,False
1932,C00119,1,0,0,0.0,False
1932,C00120,1,0,0,0.0,False
1932,C00121,3,1,0,0.3333333333333333,True
1932,C00122,1,0,0,0.0,False
1932,C00123,3,0,0,0.0,False
1932,C00124,1,0,0,0.0,False
1932,C00125,1,0,0,0.0,False
1932,C00126,3,0,0,0.0,False
1932,C00127,2,0,0,0.0,False
1932,C00128,3,0,0,0.0,False
1932,C00129,5,0,0,0.0,False
1932,C00130,3,0,0,0.0,False
1932,C00131,2,0,0,0.0,False
1932,C00132,1,0,0,0.0,False
1932,C00133,1,0,0,0.0,False
1932,C00134,2,1,1,0.5,True
1932,C00135,1,0,0,0.0,False
1932,C00136,1,0,0,0.0,False
1932,C00137,1,0,0,0.0,False
1932,C00138,1,0,0,0.0,False
1932,C00139,1,0,0,0.0,False
1932,C00140,3,0,0,0.0,False
1932,C00141,5,2,2,0.4,True
1932,C00142,1,1,1,1.0,True
1932,C00143,1,0,0,0.0,False
1932,C00144,1,0,0,0.0,False
1932,C00145,4,0,0,0.0,False
1932,C00146,1,1,1,1.0,True
1932,C00147,4,0,0,0.0,False
1932,C00148,2,0,0,0.0,False
1932,C00149,1,0,0,0.0,False
1932,C00150,2,0,0,0.0,False
1932,C00151,2,0,0,0.0,False
1932,C00152,1,0,0,0.0,False
1932,C00153,1,0,0,0.0,False
1932,C00154,2,0,0,0.0,False
1932,C00155,2,0,0,0.0,False
1932,C00156,1,1,1,1.0,True
1932,C00157,2,0,0,0.0,False
1932,C00158,1,1,1,1.0,True
1932,C00159,1,0,0,0.0,False
1932,C00160,1,0,0,0.0,False
1932,C00161,1,0,0,0.0,False
1932,C00162,2,0,0,0.0,False
1932,C00163,1,1,1,1.0,True
1932,C00164,2,1,1,0.5,True
1932,C00165,1,0,0,0.0,False
1932,C00166,1,0,0,0.0,False
1932,C00167,1,0,0,0.0,False
1932,C00168,1,0,0,0.0,False
1932,C00169,1,1,0,1.0,True
1932,C00170,1,0,0,0.0,False
1932,C00171,2,0,0,0.0,False
1932,C00172,1,0,0,0.0,False
1932,C00173,1,0,0,0.0,False
1932,C00174,1,0,0,0.0,False
1932,C00175,1,0,0,0.0,False
1932,C00176,3,1,1,0.3333333333333333,True
1932,C00177,2,0,0,0.0,False
1932,C00178,3,0,0,0.0,False
1932,C00179,1,0,0,0.0,False
1932,C00180,1,0,0,0.0,False
1932,C00181,1,0,0,0.0,False
1932,C00182,1,0,0,0.0,False
1932,C00183,1,0,0,0.0,False
1932,C00184,3,0,0,0.0,False
1932,C00185,3,1,1,0.3333333333333333,True
1932,C00186,1,0,0,0.0,False
1932,C00187,1,0,0,0.0,False
1932,C00188,1,0,0,0.0,False
1932,C00189,1,0,0,0.0,False
1932,C00190,2,0,0,0.0,False
1932,C00191,1,0,0,0.0,False
1932,C00192,2,0,0,0.0,False
1932,C00193,1,0,0,0.0,False
1932,C00194,1,0,0,0.0,False
1932,C00195,1,1,0,1.0,True
1932,C00196,1,0,0,0.0,False
1932,C00197,1,0,0,0.0,False
1932,C00198,1,0,0,0.0,False
1932,C00199,1,1,1,1.0,True
1932,C00200,1,0,0,0.0,False
1932,C00201,1,0,0,0.0,False
1932,C00202,1,0,0,0.0,False
1932,C00203,1,0,0,0.0,False
1932,C00204,1,1,1,1.0,True
1932,C00205,1,1,0,1.0,True
1938,C00001,7,0,0,0.0,False
1938,C00004,2,1,1,0.5,True
1938,C00005,7,0,0,0.0,False
1938,C00006,5,0,0,0.0,False
1938,C00007,1,0,0,0.0,False
1938,C00008,5,0,0,0.0,False
1938,C00009,4,1,1,0.25,True
1938,C00010,2,0,0,0.0,False
1938,C00012,2,0,0,0.0,False
1938,C00013,5,1,0,0.2,True
1938,C00014,3,1,1,0.3333333333333333,True
1938,C00015,3,0,0,0.0,False
1938,C00016,8,0,0,0.0,False
1938,C00018,8,2,2,0.25,True
