term,estimate,boot_se,lo,hi,n_dyads,n_ties,n_boot
edges,-6.669262546268195,0.08455419229738143,-6.846617282417691,-6.518357033234922,326317,1544,300
memory,6.721113218316803,0.14435149795389368,6.4536116572959745,7.052165464560695,326317,1544,300
b1star2,0.12638127559184387,0.020196177091238974,0.09167774154327202,0.1738208573603693,326317,1544,300
b2star2,-0.004218789667175723,0.0310270064005743,-0.06216163019571898,0.056335803273854484,326317,1544,300
office,0.40340728588003133,0.11290505440312576,0.1848766173944865,0.6057482525438621,326317,1544,300
origin_match,0.29940506113228255,0.04670547135253846,0.21386208995559466,0.40396259954795155,326317,1544,300
sector_finance,0.1108728246809092,0.10606085534631066,-0.09296587865190938,0.29708310081300543,326317,1544,300
sector_land_property,0.2936687557171062,0.12547245066709414,0.033940979568695726,0.5000263251332483,326317,1544,300
sector_agriculture,0.023148949987223104,0.14899452637982596,-0.31208024224088804,0.2925644218586271,326317,1544,300
