year,group,n,gini,share_of_brokerage,share_of_directors,pct_zero
1932,arab_egyptian,23,0.7978705448333072,0.12548846301011296,0.19166666666666668,0.5652173913043478
1932,european,42,0.7246914230586472,0.5555926841155548,0.35,0.40476190476190477
1932,local_minority,55,0.800271872764332,0.3189188528743321,0.4583333333333333,0.43636363636363634
1938,arab_egyptian,61,0.8939011851913445,0.23155683328927448,0.2663755458515284,0.639344262295082
1938,european,71,0.8552710790731296,0.4022886527030932,0.31004366812227074,0.5352112676056338
1938,local_minority,97,0.8937574474570474,0.3661545140076325,0.42358078602620086,0.6494845360824743
1942,arab_egyptian,124,0.9055312220482182,0.3537144222936206,0.2917647058823529,0.5887096774193549
1942,european,129,0.8741354192518135,0.1662763330156151,0.3035294117647059,0.5891472868217055
1942,local_minority,172,0.8696859972997596,0.48000924469076434,0.4047058823529412,0.5697674418604651
1947,arab_egyptian,172,0.8848804953231445,0.45171350702986546,0.3628691983122363,0.622093023255814
1947,european,104,0.8535568575966155,0.12677728074640937,0.21940928270042195,0.5673076923076923
1947,local_minority,198,0.887460131507462,0.42150921222372517,0.4177215189873418,0.601010101010101
1950,arab_egyptian,369,0.8984317269259734,0.47066875734108615,0.4544334975369458,0.6883468834688347
1950,european,131,0.8354066476149503,0.11396744902228444,0.16133004926108374,0.5725190839694656
1950,local_minority,312,0.8743133714514119,0.4153637936366293,0.3842364532019704,0.6442307692307693
