person_id,year,printed_name,display,name_key,rank,company_printed,role,source_page
P00001,1932,Abdel Hadi Mohamed Bey,Abdel Hadi Mohamed,abdel hadi moamed,bey,Banque de Crédit Agricole,director,527
P00002,1932,S.E. Abdel Hamid Badaoui Pacha,Abdel Hamid Badaoui,abdel hamid badaui,pasha,Banque de Crédit Agricole d'Egypte,director,527
P00003,1932,Abdel Hamid Bey Abaza,Abdel Hamid Bey Abaza,abdel hamid bei abaza,,The United Egyptian Nile Transport Co,director,527
P00004,1932,Abdy Richard,Abdy Richard,abdi rishard,,Land Bank of Egypt,president,527
P00004,1932,Abdy Richard,Abdy Richard,abdi rishard,,National Insurance Company of Egypt,president,527
P00004,1932,Abdy Richard,Abdy Richard,abdi rishard,,Alexandria & Ramleh RaihYay Cy Ltd,vice_president,527
P00004,1932,Abdy Richard,Abdy Richard,abdi rishard,,Alexandria Water Company,director,527
P00005,1932,Adda Abram Bey,Adda Abram,ada abram,bey,"Eastern Export Cy., S. A",president,527
P00005,1932,Adda Abram Bey,Adda Abram,ada abram,bey,Société Générale des Pressages et Dépôts,director,527
P00006,1932,Adda César V,Adda César V,ada sesar,,Société Anonyme des Immeubles de l'Est,managing_director,527
P00006,1932,Adda César V,Adda César V,ada sesar,,Eastern Export Cy,managing_director,527
P00007,1932,Adda Fernand C,Adda Fernand C,ada fernand,,Société Anonyme des Immeubles de l'Est,managing_director,527
P00007,1932,Adda Fernand C,Adda Fernand C,ada fernand,,"Eastern Export Cy., S. A",managing_director,527
P00008,1932,Adda A. Joseph,Adda A. Joseph,ada gosef,,S. A. des Immeubles de l'Est,director,527
P00008,1932,Adda A. Joseph,Adda A. Joseph,ada gosef,,S. A. du Béhéra,director,527
P00008,1932,Adda A. Joseph,Adda A. Joseph,ada gosef,,The Building Lands,director,527
P00008,1932,Adda A. Joseph,Adda A. Joseph,ada gosef,,Gharbieh Land Cy,director,527
P00008,1932,Adda A. Joseph,Adda A. Joseph,ada gosef,,Koubbeh Gardens,director,527
P00008,1932,Adda A. Joseph,Adda A. Joseph,ada gosef,,Easlern Export Cy. S. A,managing_director,527
P00008,1932,Adda A. Joseph,Adda A. Joseph,ada gosef,,Société Anonyme des Immeubles de l'Est,managing_director,527
P00008,1932,Adda A. Joseph,Adda A. Joseph,ada gosef,,Société Anonyme Agricole et Industrielle d'Egyptc,director,527
P00009,1932,S.E. Adly Yeghen Pacha,Adly Yeghen,adli ieghen,pasha,Société Anonyme des Eaux du Caire,president,527
P00009,1932,S.E. Adly Yeghen Pacha,Adly Yeghen,adli ieghen,pasha,cl' Administration de The Cairo Electric Rail ways & Helio polis Oases Cy,council_member,527
P00010,1932,Aghion César,Aghion César,aghion sesar,,Tramways d'Alexandrie et Présiclen t de la Société Franco-Egyptienne d'Importation 1(S. A. E.),director,527
P00011,1932,Aghion Gustave,Aghion Gustave,aghion gustav,,The Alexandria Insurance Cy,director,528
P00012,1932,Aghion Is. Jacques,Aghion Is. Jacques,aghion is gakues,,Chemins de Fer Keneh-Assouan,director,528
P00012,1932,Aghion Is. Jacques,Aghion Is. Jacques,aghion is gakues,,Société Egyptienne d'Entreprises Urbaines et Rurales,director,528
P00013,1932,Aghion Maurice,Aghion Maurice,aghion mauris,,Tramways d'Alexandrie. Aghion Max,director,528
P00013,1932,Aghion Maurice,Aghion Maurice,aghion mauris,,Société Franco-Egyptienne d'Importation,managing_director,528
P00014,1932,S.E. Ahmed Midhat Yeghen Pacha,Ahmed Midhat Yeghen,ahmed midhat ieghen,pasha,tian de la Banque )1isr,president,528
P00014,1932,S.E. Ahmed Midhat Yeghen Pacha,Ahmed Midhat Yeghen,ahmed midhat ieghen,pasha,Société Foncière d'Egypte,vice_president,528
P00015,1932,S.E. Ahmed Pacha Abboud,Ahmed Pacha Abboud,ahmed pasha abud,,Société des Automobiles,president,528
P00015,1932,S.E. Ahmed Pacha Abboud,Ahmed Pacha Abboud,ahmed pasha abud,,Omnibus du Caire,president,528
P00015,1932,S.E. Ahmed Pacha Abboud,Ahmed Pacha Abboud,ahmed pasha abud,,"Tilbury Contracting & Dredging Co (Egypt), Ltd",president,528
P00015,1932,S.E. Ahmed Pacha Abboud,Ahmed Pacha Abboud,ahmed pasha abud,,Clothing & Equipment Company S. A,president,528
P00015,1932,S.E. Ahmed Pacha Abboud,Ahmed Pacha Abboud,ahmed pasha abud,,National Petroleum Cy,president,528
P00015,1932,S.E. Ahmed Pacha Abboud,Ahmed Pacha Abboud,ahmed pasha abud,,Société Egyptienne de Pétrole (S.E. P.),vice_president,528
P00016,1932,S.E. Ahmed Pacha Abdel Wahab,Ahmed Pacha Abdel Wahab,ahmed pasha abdel uab,,Banque de Crédit Agricole d'Egypte,director,528
P00017,1932,Alby Albert,Alby Albert,albi albert,,S. A. du Nettoyage et Pressage du Coton,director,528
P00018,1932,S.E. Allam Mohamed Pacha,Allam Mohamed,alam moamed,pasha,Banque de Crédit Agricole d'Egypte,director,528
P00019,1932,Aly Bey Emine Yehia,Aly Bey Emine Yehia,ali bei emin ieia,,The Egyptian Produce Trading Cy. S. A. E,delegate,528
P00019,1932,Aly Bey Emine Yehia,Aly Bey Emine Yehia,ali bei emin ieia,,"The Alexandria Insurance Cy., S. A. E",director,528
P00019,1932,Aly Bey Emine Yehia,Aly Bey Emine Yehia,ali bei emin ieia,,Société Egyptienne d'Entreprises Urbaines et Rurales,vice_president,528
P00019,1932,Aly Bey Emine Yehia,Aly Bey Emine Yehia,ali bei emin ieia,,Société Egyptienne d'Entreprises Urbaines et Rurales,president,528
P00020,1932,Arcache Antoine Bey,Arcache Antoine,arkash antoin,bey,Alexandria Pressing,director,528
P00021,1932,Arcoudaris P,Arcoudaris P,arkudaris,,Gabbary Land,managing_director,528
P00021,1932,Arcoudaris P,Arcoudaris P,arkudaris,,The Building Lands (en liquidation),delegate,528
P00022,1932,Bacos Lebnan,Bacos Lebnan,bakos lebnan,,Union Foncière d'Egypte,director,529
P00023,1932,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,The Egyptian Hotels Ltd,president,529
P00023,1932,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,The Egyptian Hotels Ltd,managing_director,529
P00023,1932,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,S. A. Les Grands Hôtelscl'Egyptc,managing_director,529
P00023,1932,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,Palestine Hotels Co. Ltd,managing_director,529
P00023,1932,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,The Electric Light & Power Supply Cy,president,529
P00023,1932,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,The Upper Egypt Hotcls Cy,president,529
P00023,1932,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,The Upper Egypt Hotcls Cy,managing_director,529
P00023,1932,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,"S. A. Ciment Portland, Tourab",manager,529
P00023,1932,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,"S. A. Ciment Portland, Tourab",director,529
P00024,1932,Banoun Alfred,Banoun Alfred,banun alfred,,"Société Immobilière elu Domaine de Siouf. Baron Louis de Benoist d'Erquennes, Agent Supérieur de la Compagnf<> Universelle du Canal Maritime de Suez",director,529
P00025,1932,Sir Barker Henry Kniglll Bachelor,Barker Henry Kniglll Bachelor,barker henri knigl bashelor,,The New Egyptian Cy,president,529
P00025,1932,Sir Barker Henry Kniglll Bachelor,Barker Henry Kniglll Bachelor,barker henri knigl bashelor,,Société Belgo-Egyplienne de l'Ezbékieh,president,529
P00025,1932,Sir Barker Henry Kniglll Bachelor,Barker Henry Kniglll Bachelor,barker henri knigl bashelor,,The Alexandria 'Vater Cy,director,529
P00025,1932,Sir Barker Henry Kniglll Bachelor,Barker Henry Kniglll Bachelor,barker henri knigl bashelor,,Filature Nationale d'Egypte,director,529
P00025,1932,Sir Barker Henry Kniglll Bachelor,Barker Henry Kniglll Bachelor,barker henri knigl bashelor,,The National Bank of Egypt,director,529
P00025,1932,Sir Barker Henry Kniglll Bachelor,Barker Henry Kniglll Bachelor,barker henri knigl bashelor,,National Insurance Cy,director,529
P00025,1932,Sir Barker Henry Kniglll Bachelor,Barker Henry Kniglll Bachelor,barker henri knigl bashelor,,Société Egyptienne de la Bourse Commerciale de Minet El Bassal,director,529
P00026,1932,Biagi Dr. Enrico,Biagi Dr. Enrico,biagi dr enriko,,Banco Ilalo-Egiziano,general_manager,529
P00026,1932,Biagi Dr. Enrico,Biagi Dr. Enrico,biagi dr enriko,,"National Bank of Egypl, The Agr.icultural Bank of Egypt el elu Crédil Foncier Egyptien",director,529
P00027,1932,Blattner C. D. Henry,Blattner C. D. Henry,blatner henri,,inistraleur-Directcnr en Egypte de The Sinaï Mining Cy,director,529
P00028,1932,Boulad Khalil,Boulad Khalil,bulad khalil,,The Delta Land & Investment Cy,member,529
P00029,1932,Bourre Edouard,Bourre Edouard,bur eduard,,Land Bank of Egypt,managing_director,529
P00029,1932,Bourre Edouard,Bourre Edouard,bur eduard,,National Insurance Cy of Egypt,vice_president,529
P00029,1932,Bourre Edouard,Bourre Edouard,bur eduard,,S. A. du Béhéra,director,529
P00030,1932,Boyé Jean André,Boyé Jean André,boi gean andr,,Ecole Française de Droit du Caire,manager,530
