"statistic","level","obs: mean","median","min","max","sim: mean","median","min","max","Pr(>z)"
"Degree (first mode)","0",37.5,44.5,8,53,56.865,59.5,8,108,0.148957713650892
"Degree (first mode)","1",128.25,115.5,15,267,85.4775,84,9,177,0.494023048330933
"Degree (first mode)","2",34.5,24,9,81,51.245,37,0,135,0.381472091507079
"Degree (first mode)","3",18.75,17,4,37,23.5925,15,0,72,0.56918934535732
"Degree (first mode)","4",7.75,8,3,12,10.265,6,0,45,0.341793504545925
"Degree (first mode)","5",2.5,2.5,0,5,4.7475,3,0,21,0.154188946916698
"Degree (first mode)","6",3.5,3,0,8,2.5175,1,0,13,0.605943802593856
"Degree (first mode)","7",2.75,2.5,1,5,1.7025,1,0,9,0.307987938174169
"Degree (first mode)","8",2.25,1,1,6,1.22,1,0,7,0.470767816520203
"Degree (first mode)","9",0.75,0.5,0,2,0.895,0,0,6,0.782857232773036
"Degree (first mode)","10",1.25,1,0,3,0.685,0,0,6,0.435878806225733
"Degree (first mode)","11",0,0,0,0,0.445,0,0,4,4.83713616444816e-29
"Degree (first mode)","12",0,0,0,0,0.36,0,0,4,1.1566896145015e-26
"Degree (first mode)","13",0,0,0,0,0.2275,0,0,3,2.10396591129797e-20
"Degree (first mode)","14",0.5,0.5,0,1,0.1325,0,0,2,0.292835668835156
"Degree (first mode)","15",0,0,0,0,0.0475,0,0,1,1.06386024283094e-05
"Degree (first mode)","16",0,0,0,0,0.04,0,0,1,5.49949815913232e-05
"Degree (first mode)","17",0,0,0,0,0.0225,0,0,2,0.00650642505111855
"Degree (first mode)","18",0.25,0,0,1,0.0075,0,0,1,0.403617098025585
"Degree (first mode)","19",0,0,0,0,0,0,0,0,1
"Degree (first mode)","20",0,0,0,0,0.0025,0,0,1,0.317916570646115
"Degree (first mode)","21",0,0,0,0,0.0025,0,0,1,0.317916570646115
"Degree (first mode)","22",0,0,0,0,0,0,0,0,1
