"statistic","level","obs: mean","median","min","max","sim: mean","median","min","max","Pr(>z)"
"Degree (second mode)","0",63,59.5,43,90,75.285,70,43,110,0.362412897206935
"Degree (second mode)","1",107,110,43,165,84.7925,90,24,141,0.44860455931893
"Degree (second mode)","2",49,44,18,90,52.7375,45.5,2,134,0.832913328012732
"Degree (second mode)","3",21.25,16.5,5,47,26.86,17,0,84,0.603379477583053
"Degree (second mode)","4",12.25,10.5,0,28,13.8625,6,0,55,0.832896183207642
"Degree (second mode)","5",8.25,8,0,17,6.87,2.5,0,30,0.767383687436832
"Degree (second mode)","6",3,3,0,6,2.695,1,0,16,0.849856055858841
"Degree (second mode)","7",1,0.5,0,3,1.175,0,0,9,0.821568697526842
"Degree (second mode)","8",0.25,0,0,1,0.45,0,0,5,0.485444678915105
"Degree (second mode)","9",0,0,0,0,0.17,0,0,3,6.68646579524293e-11
"Degree (second mode)","10",0,0,0,0,0.0775,0,0,2,2.92580143948178e-06
"Degree (second mode)","11",0,0,0,0,0.0175,0,0,1,0.00799091048672951
"Degree (second mode)","12",0,0,0,0,0.0075,0,0,1,0.0832635457675883
"Degree (second mode)","13",0,0,0,0,0,0,0,0,1
