"statistic","level","obs: mean","median","min","max","sim: mean","median","min","max","Pr(>z)"
"Geodesic distances","1",386,365,94,720,391.23,298.5,52,944,0.973627167395861
"Geodesic distances","2",782,806.5,181,1334,851.6175,561,73,2471,0.829977752115577
"Geodesic distances","3",1332.25,1136,166,2891,1701.195,832.5,35,6048,0.607635646301361
"Geodesic distances","4",2298,1655.5,218,5663,3373.1,1304,19,14048,0.452347356144939
"Geodesic distances","5",3254.25,2071.5,139,8735,6021.755,1734.5,3,27685,0.255450269839676
"Geodesic distances","6",4161.75,2701,144,11101,9241.1875,2230.5,0,42310,0.13238896827345
"Geodesic distances","7",4438,3147,78,11380,11636.8975,2450.5,0,50275,0.0649565491799253
"Geodesic distances","8",4228.25,3686,76,9465,11772.92,2653.5,0,47638,0.0373795653465666
"Geodesic distances","9",3669,3668.5,51,7288,9798.9775,2379,0,39725,0.0450999699843129
"Geodesic distances","10",3035.5,2330.5,65,7416,6967.095,1907,0,30580,0.105890144837009
"Geodesic distances","11",2464.75,1352,31,7124,4372.8575,1209,0,21709,0.33435860188479
"Geodesic distances","12",1952.5,692,12,6414,2589.3925,827.5,0,14157,0.703362743535508
"Geodesic distances","13",1531,336,2,5450,1443.81,569,0,8009,0.95128605341433
"Geodesic distances","14",1088.25,123.5,0,4106,800.175,392,0,4093,0.793628054767475
"Geodesic distances","15",751,37,0,2930,428.9075,202,0,2114,0.687618245335308
"Geodesic distances","16",537.5,8,0,2134,233.8675,90.5,0,1384,0.608323013741669
"Geodesic distances","17",354,0,0,1416,126.86,34,0,981,0.566840683884928
"Geodesic distances","18",246.25,0,0,985,70.34,10,0,953,0.526645064801444
"Geodesic distances","19",172.5,0,0,690,39.0625,2,0,917,0.495627951413295
"Geodesic distances","20",120.5,0,0,482,22.08,0,0,754,0.47395747231146
"Geodesic distances","21",80.5,0,0,322,12.2425,0,0,547,0.458845446641608
"Geodesic distances","22",51.5,0,0,206,7.295,0,0,393,0.453902467228657
"Geodesic distances","23",23,0,0,92,4.3375,0,0,312,0.47679646062731
"Geodesic distances","24",12.25,0,0,49,2.58,0,0,227,0.488008016262572
"Geodesic distances","25",1.75,0,0,7,1.5,0,0,136,0.899035605529242
"Geodesic distances","26",0.75,0,0,3,0.87,0,0,88,0.891145039305674
"Geodesic distances","27",0,0,0,0,0.475,0,0,71,0.0333229758152211
"Geodesic distances","28",0,0,0,0,0.275,0,0,49,0.0680588507103498
"Geodesic distances","29",0,0,0,0,0.17,0,0,35,0.0941617459348856
"Geodesic distances","30",0,0,0,0,0.1,0,0,29,0.180312038473609
"Geodesic distances","31",0,0,0,0,0.0725,0,0,27,0.284665402934391
"Geodesic distances","32",0,0,0,0,0.05,0,0,20,0.317916570646115
"Geodesic distances","33",0,0,0,0,0.025,0,0,10,0.317916570646115
"Geodesic distances","34",0,0,0,0,0.01,0,0,4,0.317916570646115
"Geodesic distances","35",0,0,0,0,0,0,0,0,1
"Geodesic distances","36",0,0,0,0,0,0,0,0,1
"Geodesic distances","37",0,0,0,0,0,0,0,0,1
"Geodesic distances","38",0,0,0,0,0,0,0,0,1
"Geodesic distances","39",0,0,0,0,0,0,0,0,1
"Geodesic distances","40",0,0,0,0,0,0,0,0,1
"Geodesic distances","41",0,0,0,0,0,0,0,0,1
"Geodesic distances","42",0,0,0,0,0,0,0,0,1
"Geodesic distances","43",0,0,0,0,0,0,0,0,1
"Geodesic distances","44",2592.75,0,0,10371,2773.045,0,0,11430,0.949085936018698
"Geodesic distances","45",0,0,0,0,0,0,0,0,1
"Geodesic distances","46",0,0,0,0,0,0,0,0,1
"Geodesic distances","47",0,0,0,0,0,0,0,0,1
"Geodesic distances","48",0,0,0,0,0,0,0,0,1
"Geodesic distances","49",0,0,0,0,0,0,0,0,1
"Geodesic distances","50",0,0,0,0,0,0,0,0,1
"Geodesic distances","51",0,0,0,0,0,0,0,0,1
"Geodesic distances","52",0,0,0,0,0,0,0,0,1
"Geodesic distances","53",0,0,0,0,0,0,0,0,1
"Geodesic distances","54",0,0,0,0,0,0,0,0,1
"Geodesic distances","55",0,0,0,0,0,0,0,0,1
"Geodesic distances","56",0,0,0,0,0,0,0,0,1
"Geodesic distances","57",0,0,0,0,0,0,0,0,1
"Geodesic distances","58",0,0,0,0,0,0,0,0,1
"Geodesic distances","59",0,0,0,0,0,0,0,0,1
"Geodesic distances","60",0,0,0,0,0,0,0,0,1
"Geodesic distances","61",0,0,0,0,0,0,0,0,1
"Geodesic distances","62",0,0,0,0,0,0,0,0,1
"Geodesic distances","63",0,0,0,0,0,0,0,0,1
"Geodesic distances","64",0,0,0,0,0,0,0,0,1
"Geodesic distances","65",0,0,0,0,0,0,0,0,1
"Geodesic distances","66",0,0,0,0,0,0,0,0,1
"Geodesic distances","67",0,0,0,0,0,0,0,0,1
"Geodesic distances","68",0,0,0,0,0,0,0,0,1
"Geodesic distances","69",0,0,0,0,0,0,0,0,1
"Geodesic distances","70",0,0,0,0,0,0,0,0,1
"Geodesic distances","71",0,0,0,0,0,0,0,0,1
"Geodesic distances","72",0,0,0,0,0,0,0,0,1
"Geodesic distances","73",0,0,0,0,0,0,0,0,1
"Geodesic distances","74",0,0,0,0,0,0,0,0,1
"Geodesic distances","75",0,0,0,0,0,0,0,0,1
"Geodesic distances","76",0,0,0,0,0,0,0,0,1
"Geodesic distances","77",0,0,0,0,0,0,0,0,1
"Geodesic distances","78",0,0,0,0,0,0,0,0,1
"Geodesic distances","79",0,0,0,0,0,0,0,0,1
"Geodesic distances","80",0,0,0,0,0,0,0,0,1
"Geodesic distances","81",0,0,0,0,0,0,0,0,1
"Geodesic distances","82",0,0,0,0,0,0,0,0,1
"Geodesic distances","83",0,0,0,0,0,0,0,0,1
"Geodesic distances","84",0,0,0,0,0,0,0,0,1
"Geodesic distances","85",0,0,0,0,0,0,0,0,1
"Geodesic distances","86",0,0,0,0,0,0,0,0,1
"Geodesic distances","87",0,0,0,0,0,0,0,0,1
"Geodesic distances","88",0,0,0,0,0,0,0,0,1
"Geodesic distances","89",0,0,0,0,0,0,0,0,1
"Geodesic distances","90",0,0,0,0,0,0,0,0,1
"Geodesic distances","91",0,0,0,0,0,0,0,0,1
"Geodesic distances","92",0,0,0,0,0,0,0,0,1
"Geodesic distances","93",0,0,0,0,0,0,0,0,1
"Geodesic distances","94",0,0,0,0,0,0,0,0,1
"Geodesic distances","95",0,0,0,0,0,0,0,0,1
"Geodesic distances","96",0,0,0,0,0,0,0,0,1
"Geodesic distances","97",0,0,0,0,0,0,0,0,1
"Geodesic distances","98",0,0,0,0,0,0,0,0,1
"Geodesic distances","99",0,0,0,0,0,0,0,0,1
"Geodesic distances","100",0,0,0,0,0,0,0,0,1
"Geodesic distances","101",0,0,0,0,0,0,0,0,1
"Geodesic distances","102",0,0,0,0,0,0,0,0,1
"Geodesic distances","103",0,0,0,0,0,0,0,0,1
"Geodesic distances","104",0,0,0,0,0,0,0,0,1
"Geodesic distances","105",0,0,0,0,0,0,0,0,1
"Geodesic distances","106",0,0,0,0,0,0,0,0,1
"Geodesic distances","107",0,0,0,0,0,0,0,0,1
"Geodesic distances","108",0,0,0,0,0,0,0,0,1
"Geodesic distances","109",0,0,0,0,0,0,0,0,1
"Geodesic distances","110",0,0,0,0,0,0,0,0,1
"Geodesic distances","111",0,0,0,0,0,0,0,0,1
"Geodesic distances","112",0,0,0,0,0,0,0,0,1
"Geodesic distances","113",0,0,0,0,0,0,0,0,1
"Geodesic distances","114",0,0,0,0,0,0,0,0,1
"Geodesic distances","115",0,0,0,0,0,0,0,0,1
"Geodesic distances","116",0,0,0,0,0,0,0,0,1
"Geodesic distances","117",0,0,0,0,0,0,0,0,1
"Geodesic distances","118",0,0,0,0,0,0,0,0,1
"Geodesic distances","119",0,0,0,0,0,0,0,0,1
"Geodesic distances","120",0,0,0,0,0,0,0,0,1
"Geodesic distances","121",0,0,0,0,0,0,0,0,1
"Geodesic distances","122",0,0,0,0,0,0,0,0,1
"Geodesic distances","123",0,0,0,0,0,0,0,0,1
"Geodesic distances","124",0,0,0,0,0,0,0,0,1
"Geodesic distances","125",0,0,0,0,0,0,0,0,1
"Geodesic distances","126",0,0,0,0,0,0,0,0,1
"Geodesic distances","127",0,0,0,0,0,0,0,0,1
"Geodesic distances","128",0,0,0,0,0,0,0,0,1
"Geodesic distances","129",0,0,0,0,0,0,0,0,1
"Geodesic distances","130",0,0,0,0,0,0,0,0,1
"Geodesic distances","131",0,0,0,0,0,0,0,0,1
"Geodesic distances","132",0,0,0,0,0,0,0,0,1
"Geodesic distances","133",0,0,0,0,0,0,0,0,1
"Geodesic distances","134",0,0,0,0,0,0,0,0,1
"Geodesic distances","135",0,0,0,0,0,0,0,0,1
"Geodesic distances","136",0,0,0,0,0,0,0,0,1
"Geodesic distances","137",0,0,0,0,0,0,0,0,1
"Geodesic distances","138",0,0,0,0,0,0,0,0,1
"Geodesic distances","139",0,0,0,0,0,0,0,0,1
"Geodesic distances","140",0,0,0,0,0,0,0,0,1
"Geodesic distances","141",0,0,0,0,0,0,0,0,1
"Geodesic distances","142",0,0,0,0,0,0,0,0,1
"Geodesic distances","143",0,0,0,0,0,0,0,0,1
"Geodesic distances","144",0,0,0,0,0,0,0,0,1
"Geodesic distances","145",0,0,0,0,0,0,0,0,1
"Geodesic distances","146",0,0,0,0,0,0,0,0,1
"Geodesic distances","147",0,0,0,0,0,0,0,0,1
"Geodesic distances","148",0,0,0,0,0,0,0,0,1
"Geodesic distances","149",0,0,0,0,0,0,0,0,1
"Geodesic distances","150",0,0,0,0,0,0,0,0,1
"Geodesic distances","151",0,0,0,0,0,0,0,0,1
"Geodesic distances","152",16500,0,0,66000,16493.725,0,0,71000,0.999721153881895
"Geodesic distances","153",0,0,0,0,0,0,0,0,1
"Geodesic distances","154",0,0,0,0,0,0,0,0,1
"Geodesic distances","155",0,0,0,0,0,0,0,0,1
"Geodesic distances","156",0,0,0,0,0,0,0,0,1
"Geodesic distances","157",0,0,0,0,0,0,0,0,1
"Geodesic distances","158",0,0,0,0,0,0,0,0,1
"Geodesic distances","159",0,0,0,0,0,0,0,0,1
"Geodesic distances","160",0,0,0,0,0,0,0,0,1
"Geodesic distances","161",0,0,0,0,0,0,0,0,1
"Geodesic distances","162",0,0,0,0,0,0,0,0,1
"Geodesic distances","163",0,0,0,0,0,0,0,0,1
"Geodesic distances","164",0,0,0,0,0,0,0,0,1
"Geodesic distances","165",0,0,0,0,0,0,0,0,1
"Geodesic distances","166",0,0,0,0,0,0,0,0,1
"Geodesic distances","167",0,0,0,0,0,0,0,0,1
"Geodesic distances","168",0,0,0,0,0,0,0,0,1
"Geodesic distances","169",0,0,0,0,0,0,0,0,1
"Geodesic distances","170",0,0,0,0,0,0,0,0,1
"Geodesic distances","171",0,0,0,0,0,0,0,0,1
"Geodesic distances","172",0,0,0,0,0,0,0,0,1
"Geodesic distances","173",0,0,0,0,0,0,0,0,1
"Geodesic distances","174",0,0,0,0,0,0,0,0,1
"Geodesic distances","175",0,0,0,0,0,0,0,0,1
"Geodesic distances","176",0,0,0,0,0,0,0,0,1
"Geodesic distances","177",0,0,0,0,0,0,0,0,1
"Geodesic distances","178",0,0,0,0,0,0,0,0,1
"Geodesic distances","179",0,0,0,0,0,0,0,0,1
"Geodesic distances","180",0,0,0,0,0,0,0,0,1
"Geodesic distances","181",0,0,0,0,0,0,0,0,1
"Geodesic distances","182",0,0,0,0,0,0,0,0,1
"Geodesic distances","183",0,0,0,0,0,0,0,0,1
"Geodesic distances","184",0,0,0,0,0,0,0,0,1
"Geodesic distances","185",0,0,0,0,0,0,0,0,1
"Geodesic distances","186",0,0,0,0,0,0,0,0,1
"Geodesic distances","187",0,0,0,0,0,0,0,0,1
"Geodesic distances","188",0,0,0,0,0,0,0,0,1
"Geodesic distances","189",0,0,0,0,0,0,0,0,1
"Geodesic distances","190",0,0,0,0,0,0,0,0,1
"Geodesic distances","191",0,0,0,0,0,0,0,0,1
"Geodesic distances","192",0,0,0,0,0,0,0,0,1
"Geodesic distances","193",0,0,0,0,0,0,0,0,1
"Geodesic distances","194",0,0,0,0,0,0,0,0,1
"Geodesic distances","195",0,0,0,0,0,0,0,0,1
"Geodesic distances","196",0,0,0,0,0,0,0,0,1
"Geodesic distances","197",0,0,0,0,0,0,0,0,1
"Geodesic distances","198",0,0,0,0,0,0,0,0,1
"Geodesic distances","199",0,0,0,0,0,0,0,0,1
"Geodesic distances","200",0,0,0,0,0,0,0,0,1
"Geodesic distances","201",0,0,0,0,0,0,0,0,1
"Geodesic distances","202",0,0,0,0,0,0,0,0,1
"Geodesic distances","203",0,0,0,0,0,0,0,0,1
"Geodesic distances","204",0,0,0,0,0,0,0,0,1
"Geodesic distances","205",0,0,0,0,0,0,0,0,1
"Geodesic distances","206",0,0,0,0,0,0,0,0,1
"Geodesic distances","207",0,0,0,0,0,0,0,0,1
"Geodesic distances","208",0,0,0,0,0,0,0,0,1
"Geodesic distances","209",0,0,0,0,0,0,0,0,1
"Geodesic distances","210",0,0,0,0,0,0,0,0,1
"Geodesic distances","211",0,0,0,0,0,0,0,0,1
"Geodesic distances","212",0,0,0,0,0,0,0,0,1
"Geodesic distances","213",0,0,0,0,0,0,0,0,1
"Geodesic distances","214",0,0,0,0,0,0,0,0,1
"Geodesic distances","215",0,0,0,0,0,0,0,0,1
"Geodesic distances","216",0,0,0,0,0,0,0,0,1
"Geodesic distances","217",0,0,0,0,0,0,0,0,1
"Geodesic distances","218",0,0,0,0,0,0,0,0,1
"Geodesic distances","219",0,0,0,0,0,0,0,0,1
"Geodesic distances","220",0,0,0,0,0,0,0,0,1
"Geodesic distances","221",0,0,0,0,0,0,0,0,1
"Geodesic distances","222",0,0,0,0,0,0,0,0,1
"Geodesic distances","223",0,0,0,0,0,0,0,0,1
"Geodesic distances","224",0,0,0,0,0,0,0,0,1
"Geodesic distances","225",0,0,0,0,0,0,0,0,1
"Geodesic distances","226",0,0,0,0,0,0,0,0,1
"Geodesic distances","227",0,0,0,0,0,0,0,0,1
"Geodesic distances","228",0,0,0,0,0,0,0,0,1
"Geodesic distances","229",0,0,0,0,0,0,0,0,1
"Geodesic distances","230",0,0,0,0,0,0,0,0,1
"Geodesic distances","231",0,0,0,0,0,0,0,0,1
"Geodesic distances","232",0,0,0,0,0,0,0,0,1
"Geodesic distances","233",0,0,0,0,0,0,0,0,1
"Geodesic distances","234",0,0,0,0,0,0,0,0,1
"Geodesic distances","235",0,0,0,0,0,0,0,0,1
"Geodesic distances","236",0,0,0,0,0,0,0,0,1
"Geodesic distances","237",0,0,0,0,0,0,0,0,1
"Geodesic distances","238",0,0,0,0,0,0,0,0,1
"Geodesic distances","239",0,0,0,0,0,0,0,0,1
"Geodesic distances","240",0,0,0,0,0,0,0,0,1
"Geodesic distances","241",0,0,0,0,0,0,0,0,1
"Geodesic distances","242",0,0,0,0,0,0,0,0,1
"Geodesic distances","243",0,0,0,0,0,0,0,0,1
"Geodesic distances","244",0,0,0,0,0,0,0,0,1
"Geodesic distances","245",0,0,0,0,0,0,0,0,1
"Geodesic distances","246",0,0,0,0,0,0,0,0,1
"Geodesic distances","247",0,0,0,0,0,0,0,0,1
"Geodesic distances","248",0,0,0,0,0,0,0,0,1
"Geodesic distances","249",0,0,0,0,0,0,0,0,1
"Geodesic distances","250",0,0,0,0,0,0,0,0,1
"Geodesic distances","251",0,0,0,0,0,0,0,0,1
"Geodesic distances","252",0,0,0,0,0,0,0,0,1
"Geodesic distances","253",0,0,0,0,0,0,0,0,1
"Geodesic distances","254",0,0,0,0,0,0,0,0,1
"Geodesic distances","255",0,0,0,0,0,0,0,0,1
"Geodesic distances","256",0,0,0,0,0,0,0,0,1
"Geodesic distances","257",0,0,0,0,0,0,0,0,1
"Geodesic distances","258",0,0,0,0,0,0,0,0,1
"Geodesic distances","259",0,0,0,0,0,0,0,0,1
"Geodesic distances","260",0,0,0,0,0,0,0,0,1
"Geodesic distances","261",0,0,0,0,0,0,0,0,1
"Geodesic distances","262",0,0,0,0,0,0,0,0,1
"Geodesic distances","263",0,0,0,0,0,0,0,0,1
"Geodesic distances","264",0,0,0,0,0,0,0,0,1
