"statistic","level","obs: mean","median","min","max","sim: mean","median","min","max","Pr(>z)"
"Geodesic distances","265",0,0,0,0,0,0,0,0,1
"Geodesic distances","266",0,0,0,0,0,0,0,0,1
"Geodesic distances","267",0,0,0,0,0,0,0,0,1
"Geodesic distances","268",0,0,0,0,0,0,0,0,1
"Geodesic distances","269",0,0,0,0,0,0,0,0,1
"Geodesic distances","270",0,0,0,0,0,0,0,0,1
"Geodesic distances","271",0,0,0,0,0,0,0,0,1
"Geodesic distances","272",0,0,0,0,0,0,0,0,1
"Geodesic distances","273",0,0,0,0,0,0,0,0,1
"Geodesic distances","274",0,0,0,0,0,0,0,0,1
"Geodesic distances","275",0,0,0,0,0,0,0,0,1
"Geodesic distances","276",0,0,0,0,0,0,0,0,1
"Geodesic distances","277",0,0,0,0,0,0,0,0,1
"Geodesic distances","278",0,0,0,0,0,0,0,0,1
"Geodesic distances","279",0,0,0,0,0,0,0,0,1
"Geodesic distances","280",0,0,0,0,0,0,0,0,1
"Geodesic distances","281",0,0,0,0,0,0,0,0,1
"Geodesic distances","282",0,0,0,0,0,0,0,0,1
"Geodesic distances","283",0,0,0,0,0,0,0,0,1
"Geodesic distances","284",0,0,0,0,0,0,0,0,1
"Geodesic distances","285",0,0,0,0,0,0,0,0,1
"Geodesic distances","286",0,0,0,0,0,0,0,0,1
"Geodesic distances","287",0,0,0,0,0,0,0,0,1
"Geodesic distances","288",0,0,0,0,0,0,0,0,1
"Geodesic distances","289",0,0,0,0,0,0,0,0,1
"Geodesic distances","290",0,0,0,0,0,0,0,0,1
"Geodesic distances","291",0,0,0,0,0,0,0,0,1
"Geodesic distances","292",0,0,0,0,0,0,0,0,1
"Geodesic distances","293",0,0,0,0,0,0,0,0,1
"Geodesic distances","294",0,0,0,0,0,0,0,0,1
"Geodesic distances","295",0,0,0,0,0,0,0,0,1
"Geodesic distances","296",0,0,0,0,0,0,0,0,1
"Geodesic distances","297",0,0,0,0,0,0,0,0,1
"Geodesic distances","298",0,0,0,0,0,0,0,0,1
"Geodesic distances","299",0,0,0,0,0,0,0,0,1
"Geodesic distances","300",0,0,0,0,0,0,0,0,1
"Geodesic distances","301",0,0,0,0,0,0,0,0,1
"Geodesic distances","302",0,0,0,0,0,0,0,0,1
"Geodesic distances","303",0,0,0,0,0,0,0,0,1
"Geodesic distances","304",0,0,0,0,0,0,0,0,1
"Geodesic distances","305",0,0,0,0,0,0,0,0,1
"Geodesic distances","306",0,0,0,0,0,0,0,0,1
"Geodesic distances","307",28651,0,0,114604,33453.445,0,0,148866,0.877962657994123
"Geodesic distances","308",0,0,0,0,0,0,0,0,1
"Geodesic distances","Inf",79582.25,0,0,318329,39665.455,0,0,187486,0.650634829485732
